seed,particles_per_source,source_count,condition,run_directory,target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
46,1,512,seed46_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p01\runs\001_20260720T205329_978893Z_seed46,0,49,per_particle_d1,d1,65;46;34;424,0.453590563;0.364767773;0.000000000;0.181641664,4.077062092e-02,4.077062092e-02,5.417971398e-01,5.417971398e-01,4.218818807e-01,4.291763105e-02,7.639503526e-02,8.498597710e-02,1.512783105e-01,4.077062092e-02,7.658867621e-02,1.780038492e+00,5.273725646e-02,1.044309101e-01,5.423750628e-02,1.448597071e+00,4.077062092e-02,7.658867621e-02,0.000000000e+00,0.000000000e+00,4.218818807e-01,1.895271367e-05,7.971949431e-04,1.469822265e-02
46,1,512,seed46_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p01\runs\001_20260720T205329_978893Z_seed46,0,49,per_particle_du,du,65;46;34;424,0.000000000;0.471941549;0.000000000;0.528058451,3.611095184e-01,5.780144792e-02,3.611095184e-01,5.780144792e-02,2.172759585e-01,6.233681892e-02,1.111393387e-01,1.234400720e-01,2.200793721e-01,5.780144792e-02,1.087985266e-01,1.782884347e+00,5.273725646e-02,1.044309101e-01,5.423750628e-02,2.107416012e+00,5.780144792e-02,1.087985266e-01,0.000000000e+00,0.000000000e+00,2.172759585e-01,1.865052996e-05,1.475082430e-03,2.719672292e-02
46,2,512,seed46_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p02\runs\001_20260720T205329_854986Z_seed46,0,49,shared_d1,d1,497;417;157;221,0.793441411;0.000000000;0.000000000;0.206558589,4.639525426e-01,4.639525426e-01,6.867791445e-01,6.867791445e-01,6.840559817e-01,7.843633043e-01,7.299401735e-01,nan,nan,4.639525426e-01,4.343510799e-01,9.306148943e-01,8.029891389e-01,nan,4.775136639e-01,9.090287006e-01,4.639525426e-01,4.343510799e-01,3.416393950e-01,2.947643895e-01,6.840559817e-01,9.350890245e-06,1.214852666e-01,2.544121263e-01
46,2,512,seed46_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p02\runs\001_20260720T205329_854986Z_seed46,0,49,shared_du,du,497;417;157;221,0.318984876;0.000000000;0.194587195;0.486427929,5.596275607e-01,5.221585473e-01,5.596275607e-01,5.221585473e-01,5.536502232e-01,9.023671185e-01,9.855764765e-01,nan,nan,5.221585473e-01,5.697481787e-01,1.092212312e+00,8.029891389e-01,nan,4.775136639e-01,1.227384567e+00,5.221585473e-01,5.697481787e-01,6.141801659e-01,4.612824522e-01,5.536502232e-01,1.315103910e-05,9.989471408e-02,2.091976034e-01
46,2,512,seed46_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p02\runs\001_20260720T205329_854986Z_seed46,0,49,per_particle_d1,d1,497;417;157;221,0.981983344;0.018016656;0.000000000;0.000000000|0.000000000;0.000000000;0.000000000;1.000000000,4.035247490e-01,4.035247490e-01,7.058176343e-01,7.058176343e-01,6.935212362e-01,6.768389342e-01,6.788970776e-01,nan,nan,4.035247490e-01,4.049692380e-01,1.003040817e+00,8.029891389e-01,nan,4.775136639e-01,8.454623415e-01,4.035247490e-01,4.049692380e-01,1.513176703e-01,1.343805730e-01,6.935212362e-01,1.458210375e-05,2.389992089e-01,5.005075812e-01
46,2,512,seed46_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p02\runs\001_20260720T205329_854986Z_seed46,0,49,per_particle_du,du,497;417;157;221,0.348325430;0.256923866;0.000000000;0.394750704|0.280816225;0.000000000;0.279307194;0.439876582,5.434304344e-01,5.098054063e-01,5.434304344e-01,5.098054063e-01,5.381149065e-01,8.783502345e-01,1.077921496e+00,nan,nan,5.098054063e-01,6.190620985e-01,1.227211486e+00,8.029891389e-01,nan,4.775136639e-01,1.342386147e+00,5.098054063e-01,6.190620985e-01,7.882574414e-01,7.954998467e-01,5.381149065e-01,8.682133849e-06,1.245782293e-01,2.608893499e-01
46,3,512,seed46_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p03\runs\001_20260720T205330_877030Z_seed46,0,49,shared_d1,d1,117;55;456;322,0.556308416;0.437556731;0.006134853;0.000000000,2.806905207e-01,2.806905207e-01,4.177432211e-01,4.177432211e-01,4.166616708e-01,3.307338295e-01,4.726359204e-01,nan,nan,2.806905207e-01,4.009006569e-01,1.429052242e+00,4.845724417e-01,nan,4.057435712e-01,9.753669003e-01,2.806905207e-01,4.009006569e-01,3.088076407e-01,4.024987652e-01,4.166616708e-01,8.268198514e-06,2.071495445e-01,5.105430109e-01
46,3,512,seed46_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p03\runs\001_20260720T205330_877030Z_seed46,0,49,shared_du,du,117;55;456;322,0.419367703;0.313563276;0.267069021;0.000000000,3.688865272e-01,3.056675733e-01,3.688865272e-01,3.056675733e-01,3.694332303e-01,3.596960147e-01,4.181280666e-01,nan,nan,3.056675733e-01,3.559372752e-01,1.162448427e+00,4.845724417e-01,nan,4.057435712e-01,8.628804088e-01,3.056675733e-01,3.559372752e-01,5.316543232e-01,6.052467576e-01,3.694332303e-01,1.161379300e-05,3.290531514e-01,8.109879607e-01
46,3,512,seed46_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p03\runs\001_20260720T205330_877030Z_seed46,0,49,per_particle_d1,d1,117;55;456;322,0.551869984;0.448130016;0.000000000;0.000000000|0.000000000;0.406695680;0.593304320;0.000000000|0.723577245;0.172629051;0.018940944;0.084852760,2.182331393e-01,2.182331393e-01,4.250719886e-01,4.250719886e-01,4.251535784e-01,2.551076481e-01,3.519172531e-01,nan,nan,2.182331393e-01,2.987981740e-01,1.379485310e+00,4.845724417e-01,nan,4.057435712e-01,7.262428129e-01,2.182331393e-01,2.987981740e-01,2.745850016e-01,6.109756607e-01,4.251535784e-01,1.124145796e-05,3.559760044e-01,8.773423159e-01
46,3,512,seed46_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed46_p03\runs\001_20260720T205330_877030Z_seed46,0,49,per_particle_du,du,117;55;456;322,0.347231364;0.547416066;0.105352570;0.000000000|0.000000000;0.044289988;0.651881570;0.303828442|0.523427990;0.132177925;0.344394084;0.000000000,3.442603566e-01,2.650197436e-01,3.442603566e-01,2.650197436e-01,3.459145451e-01,3.116312615e-01,4.181280666e-01,nan,nan,2.650197436e-01,3.559372752e-01,1.341739800e+00,4.845724417e-01,nan,4.057435712e-01,8.628804088e-01,2.650197436e-01,3.559372752e-01,5.722679066e-01,6.052467576e-01,3.459145451e-01,1.161379300e-05,3.290531514e-01,8.109879607e-01
