layout,seed,trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
slot,101,5,random,shared,1;14;199;235,0.005852973;0.129579795;0.003701220;0.860866012,1,4.024379898e-01,1.826241900e-01,4.045461206e-01,2.622926776e-02,4.023604766e-01,7.898258255e-03,3.948156657e-01;4.029367283e-01;4.091277053e-01;4.054593918e-01;4.034757066e-01;3.957401449e-01;3.980232559e-01;4.096401472e-01,4.024023432e-01,4.096401472e-01,7.563728687e-02,8.706059525e-02,6.627149989e-09,3.906712357e-02,5.254865737e-03
slot,101,5,random,independent,1;14;199;235,0.005852973;0.129579795;0.003701220;0.860866012,1,2.056847985e+00,9.333865261e-01,2.058621774e+00,2.622926776e-02,1.426536740e+00,1.481761305e+00,3.948156657e-01;2.564096781e+00;2.602073683e+00;1.845543810e+00;4.034757066e-01;2.601123602e+00;2.530401635e+00;1.898981009e+00,1.855063987e+00,2.602073683e+00,,,5.238207508e-09,1.485762851e+00,8.810250091e+00
slot,101,6,random,shared,124;250;216;9,0.398962587;0.183314414;0.363646016;0.054076983,1,4.845652016e-01,2.198930759e-01,4.876218502e-01,4.308658827e-02,4.810071334e-01,5.861375439e-02,5.532372472e-01;4.629723016e-01;4.826408936e-01;4.291461678e-01;5.329885718e-01;5.051835334e-01;4.642236893e-01;4.314083379e-01,4.827250928e-01,5.532372472e-01,1.763205726e-01,2.029498233e-01,5.284391021e-09,4.243050259e-02,3.213738842e-03
slot,101,6,random,independent,124;250;216;9,0.398962587;0.183314414;0.363646016;0.054076983,1,8.529067376e-01,3.870444790e-01,8.534295350e-01,4.308658827e-02,7.164157422e-01,4.628157164e-01,5.532372472e-01;9.414834008e-01;4.826408936e-01;1.174057420e+00;5.329885718e-01;1.073370453e+00;4.642236893e-01;1.167937987e+00,7.987424578e-01,1.174057420e+00,,,5.716796611e-09,4.629365600e-01,3.331381120e+00
slot,101,7,random,shared,103;10;173;52,0.115693515;0.157282034;0.653761729;0.073262722,1,6.719615085e-01,3.049325097e-01,6.739779776e-01,3.686477882e-02,6.701903717e-01,4.875586846e-02,6.866491327e-01;6.652675231e-01;6.587850852e-01;6.808901237e-01;6.886682045e-01;6.893861134e-01;6.730374145e-01;6.309394769e-01,6.717028842e-01,6.893861134e-01,1.236024880e-01,1.422698595e-01,4.742798630e-09,4.960479900e-02,2.217829174e-03
slot,101,7,random,independent,103;10;173;52,0.115693515;0.157282034;0.653761729;0.073262722,1,1.644151812e+00,7.461072279e-01,1.646002447e+00,3.686477882e-02,1.334883131e+00,9.598553054e-01,6.866491327e-01;1.636617553e+00;1.499652243e+00;2.318336348e+00;6.886682045e-01;1.630295514e+00;1.652713877e+00;2.233527841e+00,1.543307589e+00,2.318336348e+00,,,5.820075405e-09,9.509816503e-01,6.099978193e+00
slot,101,8,random,shared,2;47;5;229,0.324769539;0.126796454;0.324030738;0.224403269,1,5.097451573e-01,2.313196041e-01,5.131941582e-01,4.403476121e-02,4.470405945e-01,2.449384254e-01,5.350608232e-01;5.257173420e-01;4.711081242e-01;5.743350960e-01;4.934625016e-01;5.143241532e-01;5.012474057e-01;4.527305940e-01,5.084982550e-01,5.743350960e-01,1.275477546e-01,1.468109698e-01,6.473266636e-09,2.355652243e-01,1.475678548e+00
slot,101,8,random,independent,2;47;5;229,0.324769539;0.126796454;0.324030738;0.224403269,1,5.592394049e-01,2.537798268e-01,5.525718180e-01,4.403476121e-02,2.757070727e-01,4.865535141e-01,5.350608232e-01;1.597512718e-01;4.962948344e-01;7.720676573e-01;4.934625016e-01;3.607421212e-01;6.362272381e-01;7.545574172e-01,5.260204831e-01,7.720676573e-01,,,4.967080063e-09,4.951879955e-01,3.271323043e+00
slot,101,9,random,shared,83;65;217;79,0.047669969;0.189525026;0.148399061;0.614405944,1,5.353989965e-01,2.429611780e-01,5.383657824e-01,3.676607775e-02,5.321171631e-01,5.918961217e-02,5.321764882e-01;5.019103625e-01;5.662221379e-01;5.824245949e-01;5.043388088e-01;5.653555019e-01;5.201420410e-01;5.037188886e-01,5.345361030e-01,5.824245949e-01,8.731285865e-02,1.004994991e-01,4.873340535e-09,5.502351724e-02,2.643812869e-03
slot,101,9,random,independent,83;65;217;79,0.047669969;0.189525026;0.148399061;0.614405944,1,9.062179495e-01,4.112368196e-01,9.090415290e-01,3.676607775e-02,4.950801200e-01,7.590300697e-01,5.321764882e-01;1.067065768e+00;1.262521143e+00;6.046360945e-01;5.043388088e-01;1.000257251e+00;1.245860192e+00;6.175939981e-01,8.543062179e-01,1.262521143e+00,,,5.557630878e-09,7.604809811e-01,5.497627138e+00
slot,101,10,random,shared,32;61;75;89,0.094966494;0.511842663;0.262286957;0.130903886,1,4.442699174e-01,2.016072932e-01,4.592417504e-01,3.952345608e-02,4.412458756e-01,5.174781884e-02,4.202349004e-01;4.724275610e-01;4.370987894e-01;4.195407791e-01;4.575880401e-01;4.659644195e-01;4.510254805e-01;4.268693576e-01,4.438436659e-01,4.724275610e-01,9.395906945e-02,1.081494704e-01,5.446932062e-09,4.084883124e-02,2.192069780e-03
slot,101,10,random,independent,32;61;75;89,0.094966494;0.511842663;0.262286957;0.130903886,1,1.183702260e+00,5.371577034e-01,1.197517332e+00,3.952345608e-02,9.386331698e-01,7.211926317e-01,4.202349004e-01;1.763583542e+00;6.780769845e-01;1.367683377e+00;4.575880401e-01;1.764176267e+00;6.610121826e-01;1.354029541e+00,1.058298104e+00,1.764176267e+00,,,6.170527482e-09,7.195887821e-01,4.861822907e+00
slot,101,11,random,shared,70;155;106;215,0.415788428;0.087104167;0.409714118;0.087393287,1,5.877788913e-01,2.667308919e-01,6.060961249e-01,3.624155860e-02,5.265767955e-01,2.611530271e-01,5.122376125e-01;5.585057297e-01;6.873973085e-01;6.233596079e-01;6.551649415e-01;5.380006299e-01;5.655267440e-01;5.384771507e-01,5.848337156e-01,6.873973085e-01,8.152913447e-02,9.384227371e-02,5.637739186e-09,2.676664822e-01,1.924222202e+00
slot,101,11,random,independent,70;155;106;215,0.415788428;0.087104167;0.409714118;0.087393287,1,7.964419086e-01,3.614210441e-01,8.097996155e-01,3.624155860e-02,6.025000137e-01,5.208775742e-01,5.122376125e-01;9.167922724e-01;7.700572558e-01;9.180572386e-01;6.551649415e-01;9.065316439e-01;7.021649447e-01;8.898138375e-01,7.838524684e-01,9.180572386e-01,,,4.518438046e-09,5.228693228e-01,3.378106798e+00
slot,101,12,random,shared,32;46;18;237,0.054887666;0.100034972;0.386935905;0.458141457,1,4.855353344e-01,2.203333170e-01,4.789318136e-01,3.590456267e-02,2.633051635e-01,4.079398876e-01,3.633828023e-01;3.143292551e-01;9.836312671e-01;3.907333991e-01;3.938991806e-01;3.660991525e-01;3.875981152e-01;3.090081465e-01,4.385851648e-01,9.836312671e-01,1.713579505e-01,1.972377089e-01,6.651197916e-09,4.102542798e-01,2.472449107e+00
slot,101,12,random,independent,32;46;18;237,0.054887666;0.100034972;0.386935905;0.458141457,1,1.444740695e+00,6.556155380e-01,1.445138328e+00,3.590456267e-02,1.075382645e+00,9.647941965e-01,3.633828023e-01;1.580343439e+00;1.717156174e+00;1.805366935e+00;3.938991806e-01;1.255936474e+00;1.671038555e+00;1.826415894e+00,1.326692432e+00,1.826415894e+00,,,5.055826139e-09,9.617678876e-01,5.843705215e+00
