stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4619252869736465,1.9072131265216186,1.0,0.40193665600974693,0.20412414523193154,0.28788111078190076,0.23186383928571427,0.18638392857142858,0.15904017857142858,0.10435267857142858,0.05580357142857143,0.039341517857142856,0.030133928571428572,0.020926339285714284,0.017020089285714284,0.010323660714285714,0.14481026785714285,0.027044663241546824,0.28054642448079276,0.1710058983083273,,,,,,1
terminal,,,True,1.1852614655036573,0.8774061052796278,0.46004617579360096,0.21785132153334072,0.20412414523193154,0.04245522406510793,0.11662946428571429,0.10016741071428571,0.10909598214285714,0.09095982142857142,0.07952008928571429,0.07784598214285714,0.09263392857142858,0.11495535714285714,0.10239955357142858,0.07338169642857142,0.04241071428571429,0.00018731972712580846,0.027817491807703373,0.8036832942037367,,,,,,1
vertex,304,0,,,,,,,,,,,,,,,,,,,,,,7.480017456e-04,1.196879756e-03,7.839790198e-04,1.254447096e-03,3.048324844e-06,1
vertex,304,1,,,,,,,,,,,,,,,,,,,,,,1.112217116e-03,1.196879756e-03,1.165712366e-03,1.254447096e-03,3.158345207e-06,1
vertex,304,2,,,,,,,,,,,,,,,,,,,,,,6.451914883e-04,1.196879756e-03,6.762238104e-04,1.254447096e-03,2.101876443e-06,1
vertex,304,3,,,,,,,,,,,,,,,,,,,,,,1.229266036e-03,1.196879756e-03,1.288391087e-03,1.254447096e-03,4.153486732e-06,1
vertex,304,4,,,,,,,,,,,,,,,,,,,,,,9.499756511e-04,1.196879756e-03,9.956674355e-04,1.254447096e-03,2.330925587e-06,1
vertex,304,5,,,,,,,,,,,,,,,,,,,,,,8.218452286e-04,1.196879756e-03,8.613742154e-04,1.254447096e-03,2.579127404e-06,1
vertex,304,6,,,,,,,,,,,,,,,,,,,,,,2.173905280e-03,1.196879756e-03,2.278465445e-03,1.254447096e-03,3.594012136e-06,1
vertex,436,0,,,,,,,,,,,,,,,,,,,,,,1.009695585e-03,2.491671525e-03,1.058259770e-03,2.611515563e-03,2.654026149e-06,1
vertex,436,1,,,,,,,,,,,,,,,,,,,,,,7.443273345e-04,2.491671525e-03,7.801278775e-04,2.611515563e-03,2.565826736e-06,1
vertex,436,2,,,,,,,,,,,,,,,,,,,,,,1.020488700e-03,2.491671525e-03,1.069572010e-03,2.611515563e-03,2.843845980e-06,1
vertex,436,3,,,,,,,,,,,,,,,,,,,,,,5.835923064e-03,2.491671525e-03,6.116618404e-03,2.611515563e-03,2.176382612e-05,1
vertex,436,4,,,,,,,,,,,,,,,,,,,,,,1.205220346e-03,2.491671525e-03,1.263188851e-03,2.611515563e-03,3.121494697e-06,1
vertex,436,5,,,,,,,,,,,,,,,,,,,,,,1.785064205e-03,2.491671525e-03,1.870921951e-03,2.611515563e-03,5.476369305e-06,1
vertex,436,6,,,,,,,,,,,,,,,,,,,,,,1.465290097e-03,2.491671525e-03,1.535767398e-03,2.611515563e-03,5.837868980e-06,1
vertex,186,0,,,,,,,,,,,,,,,,,,,,,,1.944715454e-03,1.916577778e-03,2.038252082e-03,2.008761044e-03,5.895079839e-06,1
vertex,186,1,,,,,,,,,,,,,,,,,,,,,,1.094416977e-03,1.916577778e-03,1.147056078e-03,2.008761044e-03,3.649471201e-06,1
vertex,186,2,,,,,,,,,,,,,,,,,,,,,,1.499824729e-03,1.916577778e-03,1.571963071e-03,2.008761044e-03,3.290744663e-06,1
vertex,186,3,,,,,,,,,,,,,,,,,,,,,,1.529396032e-03,1.916577778e-03,1.602956690e-03,2.008761044e-03,4.085910034e-06,1
vertex,186,4,,,,,,,,,,,,,,,,,,,,,,1.229775431e-03,1.916577778e-03,1.288924982e-03,2.008761044e-03,4.236797074e-06,1
vertex,186,5,,,,,,,,,,,,,,,,,,,,,,2.537210682e-03,1.916577778e-03,2.659245055e-03,2.008761044e-03,8.605697897e-06,1
vertex,186,6,,,,,,,,,,,,,,,,,,,,,,2.862675991e-03,1.916577778e-03,3.000364546e-03,2.008761044e-03,6.582360742e-06,1
vertex,21,0,,,,,,,,,,,,,,,,,,,,,,1.571786497e-03,2.166839900e-03,1.647386045e-03,2.271060236e-03,5.650211252e-06,1
vertex,21,1,,,,,,,,,,,,,,,,,,,,,,2.998604026e-03,2.166839900e-03,3.142830427e-03,2.271060236e-03,8.185587477e-06,1
vertex,21,2,,,,,,,,,,,,,,,,,,,,,,9.040449487e-04,2.166839900e-03,9.475275652e-04,2.271060236e-03,2.580845847e-06,1
vertex,21,3,,,,,,,,,,,,,,,,,,,,,,2.752793504e-03,2.166839900e-03,2.885196947e-03,2.271060236e-03,8.226992798e-06,1
vertex,21,4,,,,,,,,,,,,,,,,,,,,,,8.977469656e-04,2.166839900e-03,9.409266626e-04,2.271060236e-03,2.983152011e-06,1
vertex,21,5,,,,,,,,,,,,,,,,,,,,,,1.699333696e-03,2.166839900e-03,1.781067990e-03,2.271060236e-03,3.332021114e-06,1
vertex,21,6,,,,,,,,,,,,,,,,,,,,,,3.052109629e-03,2.166839900e-03,3.198909534e-03,2.271060236e-03,1.022570946e-05,1
