stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.464422349073201,1.9057033414434013,1.0,0.39081147867038174,0.20412414523193154,0.28061093206198673,0.22135416666666666,0.17122395833333334,0.1728515625,0.10611979166666667,0.062174479166666664,0.04296875,0.028645833333333332,0.022786458333333332,0.014322916666666666,0.013997395833333334,0.1435546875,0.03072503378173364,0.28066225737568373,0.17157287225787032,,,,,,1
terminal,,,True,1.184057920291454,0.8764450438293425,0.4599063373449895,0.21733191642093597,0.20412414523193154,0.04296875,0.11295572916666667,0.10677083333333333,0.10319010416666667,0.09244791666666667,0.083984375,0.072265625,0.09895833333333333,0.11360677083333333,0.10188802083333333,0.07063802083333333,0.043294270833333336,0.000180493171037364,0.02790917373499434,0.8015485679158301,,,,,,1
vertex,304,0,,,,,,,,,,,,,,,,,,,,,,1.208084150e-03,1.569800166e-03,1.267376987e-03,1.646846045e-03,2.833539159e-06,1
vertex,304,1,,,,,,,,,,,,,,,,,,,,,,7.873296450e-04,1.569800166e-03,8.259718276e-04,1.646846045e-03,2.096709401e-06,1
vertex,304,2,,,,,,,,,,,,,,,,,,,,,,2.858586101e-03,1.569800166e-03,2.998885665e-03,1.646846045e-03,8.783085084e-06,1
vertex,304,3,,,,,,,,,,,,,,,,,,,,,,1.338124884e-03,1.569800166e-03,1.403800127e-03,1.646846045e-03,2.982812775e-06,1
vertex,304,4,,,,,,,,,,,,,,,,,,,,,,1.586337234e-03,1.569800166e-03,1.664194754e-03,1.646846045e-03,6.607052023e-06,1
vertex,304,5,,,,,,,,,,,,,,,,,,,,,,4.772017931e-04,1.569800166e-03,5.006228835e-04,1.646846045e-03,1.961631892e-06,1
vertex,436,0,,,,,,,,,,,,,,,,,,,,,,9.395094005e-04,9.707832048e-04,9.856205738e-04,1.018429298e-03,3.030183026e-06,1
vertex,436,1,,,,,,,,,,,,,,,,,,,,,,9.654052032e-04,9.707832048e-04,1.012787344e-03,1.018429298e-03,2.650444988e-06,1
vertex,436,2,,,,,,,,,,,,,,,,,,,,,,1.024313206e-03,9.707832048e-04,1.074586555e-03,1.018429298e-03,2.774650035e-06,1
vertex,436,3,,,,,,,,,,,,,,,,,,,,,,1.161185946e-03,9.707832048e-04,1.218177016e-03,1.018429298e-03,2.883721153e-06,1
vertex,436,4,,,,,,,,,,,,,,,,,,,,,,8.887345124e-04,9.707832048e-04,9.323536515e-04,1.018429298e-03,2.670633240e-06,1
vertex,436,5,,,,,,,,,,,,,,,,,,,,,,8.077225305e-04,9.707832048e-04,8.473655970e-04,1.018429298e-03,2.585130803e-06,1
vertex,186,0,,,,,,,,,,,,,,,,,,,,,,2.826504582e-03,2.126092816e-03,2.965229583e-03,2.230441569e-03,3.723221309e-06,1
vertex,186,1,,,,,,,,,,,,,,,,,,,,,,1.521538688e-03,2.126092816e-03,1.596215891e-03,2.230441569e-03,5.238994676e-06,1
vertex,186,2,,,,,,,,,,,,,,,,,,,,,,3.501614586e-03,2.126092816e-03,3.673474023e-03,2.230441569e-03,1.187475800e-05,1
vertex,186,3,,,,,,,,,,,,,,,,,,,,,,1.458142275e-03,2.126092816e-03,1.529707978e-03,2.230441569e-03,5.017350749e-06,1
vertex,186,4,,,,,,,,,,,,,,,,,,,,,,1.194718232e-03,2.126092816e-03,1.253355069e-03,2.230441569e-03,2.942453781e-06,1
vertex,186,5,,,,,,,,,,,,,,,,,,,,,,1.001289458e-03,2.126092816e-03,1.050432800e-03,2.230441569e-03,3.814664989e-06,1
vertex,21,0,,,,,,,,,,,,,,,,,,,,,,1.404907410e-03,2.338180865e-03,1.473860343e-03,2.452938911e-03,3.909952875e-06,1
vertex,21,1,,,,,,,,,,,,,,,,,,,,,,1.106438843e-03,2.338180865e-03,1.160742923e-03,2.452938911e-03,2.925099155e-06,1
vertex,21,2,,,,,,,,,,,,,,,,,,,,,,3.295528757e-03,2.338180865e-03,3.457273490e-03,2.452938911e-03,9.326322606e-06,1
vertex,21,3,,,,,,,,,,,,,,,,,,,,,,1.869625155e-03,2.338180865e-03,1.961386462e-03,2.452938911e-03,7.909864171e-06,1
vertex,21,4,,,,,,,,,,,,,,,,,,,,,,3.802377133e-03,2.338180865e-03,3.988998014e-03,2.452938911e-03,1.399670711e-05,1
vertex,21,5,,,,,,,,,,,,,,,,,,,,,,8.890933150e-04,2.338180865e-03,9.327300641e-04,2.452938911e-03,2.571154004e-06,1
