stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
vertex,372,2,,,,,,,,,,,,,,,,,,,,,,3.348427488e-03,1.743191131e-03,3.424208337e-03,1.782642635e-03,9.442870574e-13,1
vertex,372,3,,,,,,,,,,,,,,,,,,,,,,1.333293789e-03,1.743191131e-03,1.363468591e-03,1.782642635e-03,6.231529682e-13,1
vertex,372,4,,,,,,,,,,,,,,,,,,,,,,1.275549046e-03,1.743191131e-03,1.304416982e-03,1.782642635e-03,6.204466754e-13,1
vertex,372,5,,,,,,,,,,,,,,,,,,,,,,2.748636595e-03,1.743191131e-03,2.810843113e-03,1.782642635e-03,7.992930832e-13,1
vertex,372,6,,,,,,,,,,,,,,,,,,,,,,2.815494570e-04,1.743191131e-03,2.879214202e-04,1.782642635e-03,2.121930330e-13,1
vertex,372,7,,,,,,,,,,,,,,,,,,,,,,8.964365601e-04,1.743191131e-03,9.167245082e-04,1.782642635e-03,4.698146604e-13,1
vertex,251,0,,,,,,,,,,,,,,,,,,,,,,8.606645292e-05,1.507223978e-03,8.801428929e-05,1.541335128e-03,6.229090735e-14,1
vertex,251,1,,,,,,,,,,,,,,,,,,,,,,2.560588521e-03,1.507223978e-03,2.618539178e-03,1.541335128e-03,7.912712976e-13,1
vertex,251,2,,,,,,,,,,,,,,,,,,,,,,4.108110180e-04,1.507223978e-03,4.201083994e-04,1.541335128e-03,3.556665064e-13,1
vertex,251,3,,,,,,,,,,,,,,,,,,,,,,2.569916718e-03,1.507223978e-03,2.628078488e-03,1.541335128e-03,7.908460392e-13,1
vertex,251,4,,,,,,,,,,,,,,,,,,,,,,1.444454888e-03,1.507223978e-03,1.477145462e-03,1.541335128e-03,6.317129399e-13,1
vertex,251,5,,,,,,,,,,,,,,,,,,,,,,9.423024622e-04,1.507223978e-03,9.636284371e-04,1.541335128e-03,4.798108259e-13,1
vertex,251,6,,,,,,,,,,,,,,,,,,,,,,1.362223099e-03,1.507223978e-03,1.393052622e-03,1.541335128e-03,6.384713181e-13,1
vertex,251,7,,,,,,,,,,,,,,,,,,,,,,8.061442436e-05,1.507223978e-03,8.243887166e-05,1.541335128e-03,5.716007172e-14,1
vertex,11,0,,,,,,,,,,,,,,,,,,,,,,1.276864551e-03,2.555026478e-03,1.305762259e-03,2.612851255e-03,6.230944221e-13,1
vertex,11,1,,,,,,,,,,,,,,,,,,,,,,1.980136760e-03,2.555026478e-03,2.024950765e-03,2.612851255e-03,8.026511019e-13,1
vertex,11,2,,,,,,,,,,,,,,,,,,,,,,2.675951409e-03,2.555026478e-03,2.736512932e-03,2.612851255e-03,7.941285735e-13,1
vertex,11,3,,,,,,,,,,,,,,,,,,,,,,2.176128194e-03,2.555026478e-03,2.225377832e-03,2.612851255e-03,7.619439057e-13,1
vertex,11,4,,,,,,,,,,,,,,,,,,,,,,2.359292629e-03,2.555026478e-03,2.412687603e-03,2.612851255e-03,7.757920414e-13,1
vertex,11,5,,,,,,,,,,,,,,,,,,,,,,1.885596328e-03,2.555026478e-03,1.928270715e-03,2.612851255e-03,7.109088365e-13,1
vertex,11,6,,,,,,,,,,,,,,,,,,,,,,4.890928202e-03,2.555026478e-03,5.001618576e-03,2.612851255e-03,1.033427667e-12,1
vertex,11,7,,,,,,,,,,,,,,,,,,,,,,1.317115785e-03,2.555026478e-03,1.346924450e-03,2.612851255e-03,5.544456113e-13,1
vertex,457,0,,,,,,,,,,,,,,,,,,,,,,7.877889733e-04,1.962819198e-03,8.056180341e-04,2.007241275e-03,5.423971640e-13,1
vertex,457,1,,,,,,,,,,,,,,,,,,,,,,2.523231326e-03,1.962819198e-03,2.580336523e-03,2.007241275e-03,7.831977147e-13,1
vertex,457,2,,,,,,,,,,,,,,,,,,,,,,1.277411756e-03,1.962819198e-03,1.306321848e-03,2.007241275e-03,6.224211989e-13,1
vertex,457,3,,,,,,,,,,,,,,,,,,,,,,2.698642340e-03,1.962819198e-03,2.759717399e-03,2.007241275e-03,8.090726578e-13,1
vertex,457,4,,,,,,,,,,,,,,,,,,,,,,2.604626983e-03,1.962819198e-03,2.663574308e-03,2.007241275e-03,7.965265127e-13,1
vertex,457,5,,,,,,,,,,,,,,,,,,,,,,1.168628974e-03,1.962819198e-03,1.195077119e-03,2.007241275e-03,6.119283090e-13,1
vertex,457,6,,,,,,,,,,,,,,,,,,,,,,2.251730938e-03,1.962819198e-03,2.302691600e-03,2.007241275e-03,7.716588616e-13,1
vertex,457,7,,,,,,,,,,,,,,,,,,,,,,1.303628376e-03,1.962819198e-03,1.333131796e-03,2.007241275e-03,6.382712204e-13,1
vertex,307,0,,,,,,,,,,,,,,,,,,,,,,9.212739123e-04,2.675531459e-03,9.421239738e-04,2.736083478e-03,4.746535182e-13,1
vertex,307,1,,,,,,,,,,,,,,,,,,,,,,1.528970525e-04,2.675531459e-03,1.563573838e-04,2.736083478e-03,1.067961837e-13,1
vertex,307,2,,,,,,,,,,,,,,,,,,,,,,8.664667698e-04,2.675531459e-03,8.860764486e-04,2.736083478e-03,4.650902002e-13,1
vertex,307,3,,,,,,,,,,,,,,,,,,,,,,2.100277203e-04,2.675531459e-03,2.147810198e-04,2.736083478e-03,1.588468052e-13,1
vertex,307,4,,,,,,,,,,,,,,,,,,,,,,2.412947843e-03,2.675531459e-03,2.467557129e-03,2.736083478e-03,7.768311725e-13,1
vertex,307,5,,,,,,,,,,,,,,,,,,,,,,9.591925909e-04,2.675531459e-03,9.809008193e-04,2.736083478e-03,5.564343842e-13,1
vertex,307,6,,,,,,,,,,,,,,,,,,,,,,5.901623170e-03,2.675531459e-03,6.035187362e-03,2.736083478e-03,1.133162600e-12,1
vertex,307,7,,,,,,,,,,,,,,,,,,,,,,3.745560776e-03,2.675531459e-03,3.830329455e-03,2.736083478e-03,8.930127044e-13,1
vertex,6,0,,,,,,,,,,,,,,,,,,,,,,2.418735307e-03,2.417657347e-03,2.473475574e-03,2.472373217e-03,7.784988894e-13,1
vertex,6,1,,,,,,,,,,,,,,,,,,,,,,1.121422999e-03,2.417657347e-03,1.146802789e-03,2.472373217e-03,5.805341349e-13,1
vertex,6,2,,,,,,,,,,,,,,,,,,,,,,2.320664164e-03,2.417657347e-03,2.373184908e-03,2.472373217e-03,7.757921171e-13,1
vertex,6,3,,,,,,,,,,,,,,,,,,,,,,7.608772719e-04,2.417657347e-03,7.780972731e-04,2.472373217e-03,5.169356793e-13,1
vertex,6,4,,,,,,,,,,,,,,,,,,,,,,2.865491405e-03,2.417657347e-03,2.930342554e-03,2.472373217e-03,8.172121784e-13,1
vertex,6,5,,,,,,,,,,,,,,,,,,,,,,4.308662013e-03,2.417657347e-03,4.406174671e-03,2.472373217e-03,1.011664810e-12,1
vertex,6,6,,,,,,,,,,,,,,,,,,,,,,2.475440047e-03,2.417657347e-03,2.531463643e-03,2.472373217e-03,7.821045867e-13,1
vertex,6,7,,,,,,,,,,,,,,,,,,,,,,8.859103733e-04,2.417657347e-03,9.059600952e-04,2.472373217e-03,4.689654718e-13,1
vertex,524,0,,,,,,,,,,,,,,,,,,,,,,1.162985942e-03,1.278930049e-03,1.189306375e-03,1.307874503e-03,6.314859795e-13,1
vertex,524,1,,,,,,,,,,,,,,,,,,,,,,7.477410965e-04,1.278930049e-03,7.646638028e-04,1.307874503e-03,4.374215246e-13,1
vertex,524,2,,,,,,,,,,,,,,,,,,,,,,1.429236907e-03,1.278930049e-03,1.461583071e-03,1.307874503e-03,6.137253190e-13,1
vertex,524,3,,,,,,,,,,,,,,,,,,,,,,1.235421095e-03,1.278930049e-03,1.263380864e-03,1.307874503e-03,5.395351341e-13,1
vertex,524,4,,,,,,,,,,,,,,,,,,,,,,5.083095387e-04,1.278930049e-03,5.198134844e-04,1.307874503e-03,4.095169367e-13,1
vertex,524,5,,,,,,,,,,,,,,,,,,,,,,2.356462434e-03,1.278930049e-03,2.409793355e-03,1.307874503e-03,7.774321669e-13,1
vertex,524,6,,,,,,,,,,,,,,,,,,,,,,3.525172364e-04,1.278930049e-03,3.604953262e-04,1.307874503e-03,2.841401917e-13,1
vertex,524,7,,,,,,,,,,,,,,,,,,,,,,1.291935721e-03,1.278930049e-03,1.321174516e-03,1.307874503e-03,6.384537175e-13,1
vertex,391,0,,,,,,,,,,,,,,,,,,,,,,8.355059195e-04,1.764359408e-03,8.544148993e-04,1.804289988e-03,5.599523906e-13,1
vertex,391,1,,,,,,,,,,,,,,,,,,,,,,5.199087522e-04,1.764359408e-03,5.316752088e-04,1.804289988e-03,3.223336700e-13,1
vertex,391,2,,,,,,,,,,,,,,,,,,,,,,3.100824403e-03,1.764359408e-03,3.171001555e-03,1.804289988e-03,8.353523351e-13,1
vertex,391,3,,,,,,,,,,,,,,,,,,,,,,1.598625823e-03,1.764359408e-03,1.634805559e-03,1.804289988e-03,6.633850144e-13,1
vertex,391,4,,,,,,,,,,,,,,,,,,,,,,2.639207310e-03,1.764359408e-03,2.698937249e-03,1.804289988e-03,9.046875488e-13,1
vertex,391,5,,,,,,,,,,,,,,,,,,,,,,3.147676327e-04,1.764359408e-03,3.218913821e-04,1.804289988e-03,2.478746469e-13,1
vertex,391,6,,,,,,,,,,,,,,,,,,,,,,2.152741375e-04,1.764359408e-03,2.201461728e-04,1.804289988e-03,1.550034581e-13,1
vertex,391,7,,,,,,,,,,,,,,,,,,,,,,2.157263163e-03,1.764359408e-03,2.206085852e-03,1.804289988e-03,7.459718420e-13,1
vertex,200,0,,,,,,,,,,,,,,,,,,,,,,8.663413751e-04,1.928660371e-03,8.859482159e-04,1.972309373e-03,4.639279309e-13,1
vertex,200,1,,,,,,,,,,,,,,,,,,,,,,3.577647746e-03,1.928660371e-03,3.658616256e-03,1.972309373e-03,9.449189211e-13,1
vertex,200,2,,,,,,,,,,,,,,,,,,,,,,2.327428300e-03,1.928660371e-03,2.380102127e-03,1.972309373e-03,7.738696597e-13,1
vertex,200,3,,,,,,,,,,,,,,,,,,,,,,1.315599661e-03,1.928660371e-03,1.345374013e-03,1.972309373e-03,6.351664247e-13,1
vertex,200,4,,,,,,,,,,,,,,,,,,,,,,8.708346232e-04,1.928660371e-03,8.905431542e-04,1.972309373e-03,4.640787388e-13,1
vertex,200,5,,,,,,,,,,,,,,,,,,,,,,5.437520096e-04,1.928660371e-03,5.560580813e-04,1.972309373e-03,4.353975348e-13,1
vertex,200,6,,,,,,,,,,,,,,,,,,,,,,2.469747568e-03,1.928660371e-03,2.525642333e-03,1.972309373e-03,8.171072836e-13,1
vertex,200,7,,,,,,,,,,,,,,,,,,,,,,1.380702223e-03,1.928660371e-03,1.411949962e-03,1.972309373e-03,6.350238121e-13,1
vertex,109,0,,,,,,,,,,,,,,,,,,,,,,1.082173751e-03,1.364158870e-03,1.106665261e-03,1.395032203e-03,6.382648097e-13,1
vertex,109,1,,,,,,,,,,,,,,,,,,,,,,1.325731827e-03,1.364158870e-03,1.355735488e-03,1.395032203e-03,6.091230035e-13,1
vertex,109,2,,,,,,,,,,,,,,,,,,,,,,4.273057161e-04,1.364158870e-03,4.369764018e-04,1.395032203e-03,3.445918722e-13,1
vertex,109,3,,,,,,,,,,,,,,,,,,,,,,6.266970159e-04,1.364158870e-03,6.408802801e-04,1.395032203e-03,4.645253087e-13,1
vertex,109,4,,,,,,,,,,,,,,,,,,,,,,3.057586424e-03,1.364158870e-03,3.126785024e-03,1.395032203e-03,8.384141177e-13,1
vertex,109,5,,,,,,,,,,,,,,,,,,,,,,9.745382599e-04,1.364158870e-03,9.965937880e-04,1.395032203e-03,5.106507821e-13,1
vertex,109,6,,,,,,,,,,,,,,,,,,,,,,9.844236255e-04,1.364158870e-03,1.006702877e-03,1.395032203e-03,5.245897503e-13,1
vertex,109,7,,,,,,,,,,,,,,,,,,,,,,3.402671297e-04,1.364158870e-03,3.479679779e-04,1.395032203e-03,2.827062926e-13,1
vertex,496,0,,,,,,,,,,,,,,,,,,,,,,5.939956068e-03,2.956448681e-03,6.074387801e-03,3.023358354e-03,1.055240138e-12,1
