stage,finite,mean_pair_distance,rms_radius,radius_mean,radius_cv,radius_q05,radius_q25,radius_q50,radius_q75,radius_q95,uniform_ball_radius,radial_ks,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_relative_rmse,gate_pass
initial,True,3.9209304438664208,2.9972013775610837,2.7590906546308442,0.4243213811202316,1.267522663497187,1.8574867669381623,2.451465686831387,3.547711282587981,4.748352990815404,3.670807015695743,0.3180259740017715,0.11151290367999524,0.20858687553160185,0.12024191287255583,,,1
terminal,True,0.9784067235172144,0.7144748845173878,0.7051658679435431,0.16302336288469702,0.4823563805441906,0.6528599817229298,0.7277755593480824,0.7799288778099005,0.8672589418508284,0.8750494505507685,0.13391828621567325,0.0047026997502639355,0.06532901665700971,0.5807604081233126,,,1
vertex,,,,,,,,,,,,,,,,5,1.223348885e-01,0
vertex,,,,,,,,,,,,,,,,3,4.944233761e-01,0
