stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4028360932535673,1.8753807667863962,1.0,0.4684205368117254,0.20412414523193154,0.31379128284630486,0.3203125,0.173828125,0.109375,0.07421875,0.03515625,0.025390625,0.01953125,0.013671875,0.017578125,0.0078125,0.203125,0.08537135044281437,0.242464065078945,0.2392931448131758,,,,,,1
terminal,,,True,1.1612225536625222,0.857798405675334,0.45739959632050353,0.20882875468686818,0.20412414523193154,0.06295578401501878,0.10546875,0.095703125,0.095703125,0.095703125,0.072265625,0.09375,0.150390625,0.1484375,0.072265625,0.044921875,0.025390625,0.00045462759263740197,0.026939762381465362,0.8093150531217211,,,,,,1
vertex,471,0,,,,,,,,,,,,,,,,,,,,,,9.426353762e-04,9.426353762e-04,1.004924991e-03,1.004924991e-03,1.322857977e-06,1
vertex,292,0,,,,,,,,,,,,,,,,,,,,,,9.635526910e-04,9.635526910e-04,1.027224528e-03,1.027224528e-03,1.457145431e-06,1
vertex,270,0,,,,,,,,,,,,,,,,,,,,,,1.208475258e-03,1.208475258e-03,1.288331648e-03,1.288331648e-03,2.392769563e-06,1
vertex,374,0,,,,,,,,,,,,,,,,,,,,,,1.907816731e-03,1.907816731e-03,2.033885806e-03,2.033885806e-03,2.604436242e-06,1
