target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,257,shared_d1,d1,278;404;323;42,0.000000000;0.520390270;0.000000000;0.479609730,5.028268685e-01,5.028268685e-01,6.867320481e-01,6.867320481e-01,6.833939468e-01,5.162487009e-01,7.420954646e-01,nan,nan,5.028268685e-01,7.258938139e-01,1.437476672e+00,7.690383187e-01,nan,7.534886143e-01,9.649655246e-01,5.028268685e-01,7.258938139e-01,6.441475802e-01,1.301441172e+00,6.833939468e-01,8.244375181e-06,2.594338358e-01,3.443102270e-01
0,257,shared_du,du,278;404;323;42,0.000000000;0.848786635;0.151213365;0.000000000,4.053556617e-01,7.294693866e-01,4.053556617e-01,7.294693866e-01,3.965886990e-01,7.442315304e-01,8.289193102e-01,nan,nan,7.294693866e-01,8.120883849e-01,1.113792249e+00,7.690383187e-01,nan,7.534886143e-01,1.077864770e+00,7.294693866e-01,8.120883849e-01,8.348012422e-01,6.439389733e-01,3.965886990e-01,7.357818193e-06,1.005224789e-03,1.334094198e-03
0,257,per_particle_d1,d1,278;404;323;42,0.000000000;0.720934075;0.279065925;0.000000000|0.064325697;0.000000000;0.216344299;0.719330004,2.607071518e-01,2.607071518e-01,4.157562278e-01,4.157562278e-01,3.903506909e-01,2.703318599e-01,2.484276595e-01,nan,nan,2.607071518e-01,2.412730122e-01,9.189729231e-01,7.690383187e-01,nan,7.534886143e-01,3.230367765e-01,2.607071518e-01,2.412730122e-01,1.796381703e-01,1.450159453e-01,3.903506909e-01,9.807639863e-06,7.389402686e-01,9.806920166e-01
0,257,per_particle_du,du,278;404;323;42,0.000000000;0.946580950;0.053419050;0.000000000|0.000000000;0.307677129;0.303953730;0.388369141,2.889623010e-01,4.325811467e-01,2.889623010e-01,4.325811467e-01,2.804763570e-01,4.445427300e-01,7.489796437e-01,nan,nan,4.325811467e-01,7.322179273e-01,1.684831610e+00,7.690383187e-01,nan,7.534886143e-01,9.739171969e-01,4.325811467e-01,7.322179273e-01,1.295309561e-01,6.892641553e-01,2.804763570e-01,7.403009101e-06,1.806277246e-01,2.397219031e-01
