stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4490072589633183,1.8856219093809585,1.0,0.37003073232830147,0.20412414523193154,0.27596004676223984,0.25390625,0.205078125,0.1025390625,0.076171875,0.0498046875,0.0478515625,0.0390625,0.0283203125,0.0205078125,0.009765625,0.1669921875,0.08351872864471645,0.26228164223704165,0.16901778415716548,,,,,,1
terminal,,,True,1.1719175695732198,0.8666521173054876,0.4596107591844888,0.2125302754125168,0.20412414523193154,0.051204539693976536,0.1083984375,0.1005859375,0.1142578125,0.08203125,0.060546875,0.0849609375,0.130859375,0.138671875,0.103515625,0.04296875,0.033203125,0.0005464622018284213,0.02826029164234682,0.7888124880218332,,,,,,1
vertex,278,0,,,,,,,,,,,,,,,,,,,,,,6.818090847e-04,9.453491939e-04,7.229842327e-04,1.002439799e-03,1.640743744e-06,1
vertex,278,1,,,,,,,,,,,,,,,,,,,,,,1.150002856e-03,9.453491939e-04,1.219452705e-03,1.002439799e-03,2.278975146e-06,1
vertex,49,0,,,,,,,,,,,,,,,,,,,,,,5.627879446e-04,2.155386939e-03,5.967752843e-04,2.285552961e-03,1.362077776e-06,1
vertex,49,1,,,,,,,,,,,,,,,,,,,,,,2.995772929e-03,2.155386939e-03,3.176690721e-03,2.285552961e-03,9.816005615e-06,1
vertex,386,0,,,,,,,,,,,,,,,,,,,,,,3.208380036e-03,2.331920849e-03,3.402137388e-03,2.472747935e-03,7.842134456e-06,1
vertex,386,1,,,,,,,,,,,,,,,,,,,,,,7.628939887e-04,2.331920849e-03,8.089659371e-04,2.472747935e-03,2.083756522e-06,1
vertex,379,0,,,,,,,,,,,,,,,,,,,,,,1.183217517e-03,9.242167844e-04,1.254673233e-03,9.800311814e-04,3.213423265e-06,1
vertex,379,1,,,,,,,,,,,,,,,,,,,,,,5.552923893e-04,9.242167844e-04,5.888270647e-04,9.800311814e-04,1.708475397e-06,1
