stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4967887365617325,1.9266550499689488,1.0,0.449059965024941,0.20412414523193154,0.22078063678748,0.2666015625,0.095703125,0.111328125,0.1435546875,0.076171875,0.0478515625,0.033203125,0.02734375,0.01953125,0.0166015625,0.162109375,0.08084940073932453,0.12864785361383255,0.5059087602499607,,,,,,1
terminal,,,True,1.1716366225890666,0.8663058111486016,0.44964240545424233,0.21201104750637692,0.20412414523193154,0.04814356862829561,0.1083984375,0.109375,0.095703125,0.08203125,0.0673828125,0.1044921875,0.1103515625,0.140625,0.1123046875,0.0498046875,0.01953125,0.00029259026548934293,0.013369111251874143,0.8959540548308222,,,,,,1
vertex,306,0,,,,,,,,,,,,,,,,,,,,,,5.688556091e-04,8.944901050e-04,5.890177137e-04,9.261937621e-04,1.702377402e-06,1
vertex,306,1,,,,,,,,,,,,,,,,,,,,,,1.129879813e-03,8.944901050e-04,1.169926452e-03,9.261937621e-04,3.326921543e-06,1
vertex,67,0,,,,,,,,,,,,,,,,,,,,,,1.199081646e-03,9.172804181e-04,1.241581024e-03,9.497918385e-04,2.251706051e-06,1
vertex,67,1,,,,,,,,,,,,,,,,,,,,,,4.949847852e-04,9.172804181e-04,5.125286661e-04,9.497918385e-04,1.660275311e-06,1
vertex,198,0,,,,,,,,,,,,,,,,,,,,,,6.425701955e-04,2.635208732e-03,6.653449864e-04,2.728609155e-03,1.690218195e-06,1
vertex,198,1,,,,,,,,,,,,,,,,,,,,,,3.670933623e-03,2.635208732e-03,3.801043526e-03,2.728609155e-03,8.488476546e-06,1
vertex,256,0,,,,,,,,,,,,,,,,,,,,,,1.219895808e-03,1.408546277e-03,1.263132908e-03,1.458469767e-03,2.281948162e-06,1
vertex,256,1,,,,,,,,,,,,,,,,,,,,,,1.574756948e-03,1.408546277e-03,1.630571489e-03,1.458469767e-03,6.232742596e-06,1
