dimension,beta,pair,alpha,terminal_pair_distance,seed_offset_distance,seed_pair_separation_ratio,target_rmse,relative_plane_error,relative_pair_error,arrival_separation_ratio,local_amplification,identity_swapped,collapsed,max_replay_residual,finite,replay_seconds
2,0.05,0,0.0,0.006805426111089248,0.0,1.0,0.03685288204984724,0.03685288204984724,12.3255826208078,1.6300607223658348,0.0,False,False,0.0004859101203896077,True,0.053773999999975786
2,0.05,1,0.0,0.03310648638540427,0.0,1.0,0.051600136237465115,0.051600136237465115,2.5232317096842136,1.3524994303286457,0.0,False,False,0.0005811468924929676,True,0.053773999999975786
2,0.05,0,0.25,0.006805426111089248,0.001701356527772312,0.5,0.03684102471997002,0.03684102471997002,12.321616893002139,0.8149433041585121,0.716243461915396,False,False,0.0004835228172785602,True,0.053773999999975786
2,0.05,1,0.25,0.03310648638540427,0.008276621596351067,0.5,0.05153190136588684,0.05153190136588684,2.5198950442366614,0.6755121891211777,0.8364555671676274,False,False,0.0005747543698274029,True,0.053773999999975786
2,0.05,0,0.49,0.006805426111089248,0.0033346587944337314,0.020000000000000018,0.03686793830203416,0.03686793830203416,12.33061824000411,0.03259657311381049,0.7161674286676982,False,True,0.0004812365040948552,True,0.053773999999975786
2,0.05,1,0.49,0.03310648638540427,0.01622217832884809,0.020000000000000018,0.0523615888604424,0.0523615888604424,2.560466522299369,0.027010598694095937,0.8355157277729358,False,True,0.0005685004615278638,True,0.053773999999975786
2,0.1,0,0.0,0.006805426111089248,0.0,1.0,0.019444217976184824,0.019444217976184824,6.503190573760179,1.3266794178283574,0.0,False,False,0.00023594715692337135,True,0.05291889999352861
2,0.1,1,0.0,0.03310648638540427,0.0,1.0,0.027426305526230085,0.027426305526230085,1.3411383928289948,1.1964014135475851,0.0,False,False,0.0002942019432188061,True,0.05291889999352861
2,0.1,0,0.25,0.006805426111089248,0.001701356527772312,0.5,0.01944464770489908,0.01944464770489908,6.503334298117068,0.6632409825458813,0.582967616256452,False,False,0.00023496245846760328,True,0.05291889999352861
2,0.1,1,0.25,0.03310648638540427,0.008276621596351067,0.5,0.027616569691453464,0.027616569691453464,1.3504422553749944,0.597189521471339,0.7404757146870609,False,False,0.00029121420006692313,True,0.05291889999352861
2,0.1,0,0.49,0.006805426111089248,0.0033346587944337314,0.020000000000000018,0.019492496031585812,0.019492496031585812,6.519337347839122,0.026528325040230085,0.5828795238532561,False,True,0.00023402454008178986,True,0.05291889999352861
2,0.1,1,0.49,0.03310648638540427,0.01622217832884809,0.020000000000000018,0.029060400289715856,0.029060400289715856,1.421045153246858,0.023874044722170758,0.7391508652408125,False,True,0.0002884541643414766,True,0.05291889999352861
4,0.05,0,0.0,0.1730694802802351,0.0,1.0,0.05192612666071083,0.051926126660710836,2.869451968017551,4.23871211152809,0.0,False,False,0.0008914334745333901,True,0.05415900000662077
4,0.05,1,0.0,0.19054511764821314,0.0,1.0,0.11764209966217513,0.11764209966217515,2.575559897921935,2.7690224147669302,0.0,False,False,0.002026353077674905,True,0.05415900000662077
4,0.05,0,0.25,0.1730694802802351,0.04326737007005878,0.5,0.04158683729746677,0.041586837297466775,2.2981000086249868,2.0205739926060176,0.4689620616136956,False,False,0.0007830645424416128,True,0.05415900000662077
4,0.05,1,0.25,0.19054511764821314,0.047636279412053284,0.5,0.10617215046748386,0.10617215046748388,2.3244462127541143,1.397919044264642,0.66417329005992,False,False,0.002113957625616443,True,0.05415900000662077
4,0.05,0,0.49,0.1730694802802351,0.0848040453373152,0.020000000000000018,0.040624893460277596,0.0406248934602776,2.244942728961504,0.0799428231049732,0.44608043397801417,False,True,0.0006942719739551755,True,0.05415900000662077
4,0.05,1,0.49,0.19054511764821314,0.09336710764762443,0.020000000000000018,0.10623368707626586,0.10623368707626588,2.3257934449294,0.05683102094649265,0.6665961409135766,False,True,0.0021168596935437576,True,0.05415900000662077
4,0.1,0,0.0,0.1730694802802351,0.0,1.0,0.02367134761574447,0.023671347615744475,1.3080851465283492,2.3028125590687867,0.0,False,False,0.0004141772719627342,True,0.053803599992534146
4,0.1,1,0.0,0.19054511764821314,0.0,1.0,0.05961871377036016,0.05961871377036017,1.3052433507525754,1.8884290442275093,0.0,False,False,0.001292685813042406,True,0.053803599992534146
4,0.1,0,0.25,0.1730694802802351,0.04326737007005878,0.5,0.019646914491924888,0.01964691449192489,1.0856938708848936,1.1121673235660838,0.2510127967687675,False,False,0.0003436208555088099,True,0.053803599992534146
4,0.1,1,0.25,0.19054511764821314,0.047636279412053284,0.5,0.05247645844502044,0.05247645844502045,1.1488766550756968,0.9722171401072471,0.44546602006835795,False,False,0.0012750967827086484,True,0.053803599992534146
4,0.1,0,0.49,0.1730694802802351,0.0848040453373152,0.020000000000000018,0.021162645913836854,0.021162645913836858,1.1694536040151944,0.04432252628795647,0.24187901701426956,False,True,0.00030831564058325455,True,0.053803599992534146
4,0.1,1,0.49,0.19054511764821314,0.09336710764762443,0.020000000000000018,0.05563766607804486,0.055637666078044865,1.2180855491026046,0.040105616877995284,0.4550099245702735,False,True,0.0012582597519227889,True,0.053803599992534146
