stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4692266230382867,1.9114047819385835,1.0,0.3884465232194049,0.20412414523193154,0.27579088031304155,0.25362723214285715,0.21400669642857142,0.10379464285714286,0.06668526785714286,0.05078125,0.05078125,0.040736607142857144,0.03376116071428571,0.019810267857142856,0.017299107142857144,0.14871651785714285,0.08234167166210624,0.2562392825336283,0.20413711880996252,,,,,,1
terminal,,,True,1.1848463630718946,0.8770528817081854,0.4588525099422748,0.21765668579890146,0.20412414523193154,0.04218519736234072,0.11244419642857142,0.10686383928571429,0.09877232142857142,0.103515625,0.07840401785714286,0.07142857142857142,0.08649553571428571,0.12360491071428571,0.10993303571428571,0.06808035714285714,0.04045758928571429,0.00025673798247208523,0.024991660602425147,0.8127431469915466,,,,,,1
vertex,278,0,,,,,,,,,,,,,,,,,,,,,,3.649204676e-03,1.950448203e-03,3.817776815e-03,2.040547624e-03,1.293621097e-05,1
vertex,278,1,,,,,,,,,,,,,,,,,,,,,,2.436197342e-03,1.950448203e-03,2.548735561e-03,2.040547624e-03,8.460762772e-06,1
vertex,278,2,,,,,,,,,,,,,,,,,,,,,,1.553975603e-03,1.950448203e-03,1.625760283e-03,2.040547624e-03,6.055816702e-06,1
vertex,278,3,,,,,,,,,,,,,,,,,,,,,,1.159330121e-03,1.950448203e-03,1.212884464e-03,2.040547624e-03,3.990729291e-06,1
vertex,278,4,,,,,,,,,,,,,,,,,,,,,,8.382793826e-04,1.950448203e-03,8.770030392e-04,2.040547624e-03,2.585577721e-06,1
vertex,278,5,,,,,,,,,,,,,,,,,,,,,,1.017164251e-03,1.950448203e-03,1.064151353e-03,2.040547624e-03,2.255659169e-06,1
vertex,278,6,,,,,,,,,,,,,,,,,,,,,,1.371773729e-03,1.950448203e-03,1.435141737e-03,2.040547624e-03,4.455571870e-06,1
vertex,49,0,,,,,,,,,,,,,,,,,,,,,,1.393678044e-03,2.188810313e-03,1.458057905e-03,2.289920683e-03,3.158686611e-06,1
vertex,49,1,,,,,,,,,,,,,,,,,,,,,,1.770318455e-03,2.188810313e-03,1.852096923e-03,2.289920683e-03,4.399273566e-06,1
vertex,49,2,,,,,,,,,,,,,,,,,,,,,,4.229615427e-03,2.188810313e-03,4.424999184e-03,2.289920683e-03,1.181896124e-05,1
vertex,49,3,,,,,,,,,,,,,,,,,,,,,,1.574575023e-03,2.188810313e-03,1.647311278e-03,2.289920683e-03,3.306543985e-06,1
vertex,49,4,,,,,,,,,,,,,,,,,,,,,,1.509992463e-03,2.188810313e-03,1.579745377e-03,2.289920683e-03,4.256866410e-06,1
vertex,49,5,,,,,,,,,,,,,,,,,,,,,,1.951463237e-03,2.188810313e-03,2.041609546e-03,2.289920683e-03,3.518133284e-06,1
vertex,49,6,,,,,,,,,,,,,,,,,,,,,,1.415149820e-03,2.188810313e-03,1.480521553e-03,2.289920683e-03,3.106663512e-06,1
vertex,386,0,,,,,,,,,,,,,,,,,,,,,,7.557315393e-04,2.806361650e-03,7.906419632e-04,2.935999319e-03,2.398045483e-06,1
vertex,386,1,,,,,,,,,,,,,,,,,,,,,,4.626931719e-03,2.806361650e-03,4.840669189e-03,2.935999319e-03,1.020578113e-05,1
vertex,386,2,,,,,,,,,,,,,,,,,,,,,,4.226078583e-04,2.806361650e-03,4.421298958e-04,2.935999319e-03,1.562679100e-06,1
vertex,386,3,,,,,,,,,,,,,,,,,,,,,,1.006806963e-03,2.806361650e-03,1.053315618e-03,2.935999319e-03,2.873991847e-06,1
vertex,386,4,,,,,,,,,,,,,,,,,,,,,,4.754083476e-03,2.806361650e-03,4.973694622e-03,2.935999319e-03,1.775902852e-05,1
vertex,386,5,,,,,,,,,,,,,,,,,,,,,,1.959231800e-03,2.806361650e-03,2.049736971e-03,2.935999319e-03,3.541011605e-06,1
vertex,386,6,,,,,,,,,,,,,,,,,,,,,,2.349015982e-03,2.806361650e-03,2.457526927e-03,2.935999319e-03,8.534786763e-06,1
vertex,379,0,,,,,,,,,,,,,,,,,,,,,,8.091312328e-04,1.474121030e-03,8.465084135e-04,1.542216891e-03,3.346433009e-06,1
vertex,379,1,,,,,,,,,,,,,,,,,,,,,,6.674174687e-04,1.474121030e-03,6.982482936e-04,1.542216891e-03,2.416179971e-06,1
vertex,379,2,,,,,,,,,,,,,,,,,,,,,,6.491451957e-04,1.474121030e-03,6.791319473e-04,1.542216891e-03,2.203728406e-06,1
vertex,379,3,,,,,,,,,,,,,,,,,,,,,,1.483677525e-03,1.474121030e-03,1.552214841e-03,1.542216891e-03,3.201987535e-06,1
vertex,379,4,,,,,,,,,,,,,,,,,,,,,,7.895427460e-04,1.474121030e-03,8.260150520e-04,1.542216891e-03,2.433581081e-06,1
vertex,379,5,,,,,,,,,,,,,,,,,,,,,,1.436214101e-03,1.474121030e-03,1.502558881e-03,1.542216891e-03,4.302812432e-06,1
vertex,379,6,,,,,,,,,,,,,,,,,,,,,,2.966869236e-03,1.474121030e-03,3.103921426e-03,1.542216891e-03,9.576776063e-06,1
