target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,257,shared_d1,d1,385;229;391;243,0.375312759;0.319244589;0.305442652;0.000000000,3.405896518e-01,3.405896518e-01,5.179958232e-01,5.179958232e-01,5.174513923e-01,4.371183181e-01,5.093088825e-01,nan,nan,3.405896518e-01,3.945483460e-01,1.165151085e+00,6.080242073e-01,nan,4.721049444e-01,8.376457325e-01,3.405896518e-01,3.945483460e-01,3.412876964e-01,3.642600365e-01,5.174513923e-01,1.059365564e-05,3.241413623e-01,6.865875185e-01
0,257,shared_du,du,385;229;391;243,0.403340019;0.378988858;0.135251397;0.082419727,5.001965892e-01,3.533073429e-01,5.001965892e-01,3.533073429e-01,4.998027835e-01,4.543064084e-01,4.906369166e-01,nan,nan,3.533073429e-01,3.796576917e-01,1.079969174e+00,6.080242073e-01,nan,4.721049444e-01,8.069364849e-01,3.533073429e-01,3.796576917e-01,3.648368102e-01,3.588827851e-01,4.998027835e-01,8.791386133e-06,2.751903434e-01,5.829007866e-01
0,257,per_particle_d1,d1,385;229;391;243,0.825016664;0.000000000;0.174983336;0.000000000|0.410772866;0.447610742;0.141616393;0.000000000|0.000000000;0.121487686;0.801672649;0.076839665|0.622620715;0.000000000;0.000000000;0.377379285|0.354595241;0.311544327;0.333860432;0.000000000|0.000000000;0.836163407;0.000000000;0.163836593|1.000000000;0.000000000;0.000000000;0.000000000,2.783250872e-01,2.783250872e-01,4.735712300e-01,4.735712300e-01,4.701324913e-01,3.566420408e-01,3.706145041e-01,nan,nan,2.783250872e-01,2.889971541e-01,1.039177836e+00,6.080242073e-01,nan,4.721049444e-01,6.095390605e-01,2.783250872e-01,2.889971541e-01,4.190789469e-01,4.702231371e-01,4.701324913e-01,7.980726595e-06,3.717229670e-01,7.873735943e-01
0,257,per_particle_du,du,385;229;391;243,0.607257228;0.312073144;0.080669628;0.000000000|0.535592672;0.464407328;0.000000000;0.000000000|0.000000000;0.247118810;0.361064095;0.391817094|0.660073949;0.000000000;0.018599552;0.321326499|0.428712395;0.571287605;0.000000000;0.000000000|0.000000000;0.000000000;0.119116953;0.880883047|0.804141663;0.195858337;0.000000000;0.000000000,4.118213325e-01,3.160179099e-01,4.118213325e-01,3.160179099e-01,4.098677252e-01,4.054275785e-01,4.784219767e-01,nan,nan,3.160179099e-01,3.714059302e-01,1.180043002e+00,6.080242073e-01,nan,4.721049444e-01,7.868469232e-01,3.160179099e-01,3.714059302e-01,3.557625382e-01,4.934460780e-01,4.098677252e-01,1.025874125e-05,2.761734423e-01,5.849831601e-01
