trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
8,random,shared,255;163;95;129,0.138922481;0.648519806;0.132564729;0.079992984,1,8.708512357e-01,3.910851245e-01,8.718142789e-01,3.560782551e-02,8.694146776e-01,4.999993042e-02,8.792037553e-01;8.873892993e-01;8.728086112e-01;8.482256632e-01;8.578975164e-01;8.768673852e-01;8.614857730e-01;8.821972804e-01,8.707594105e-01,8.873892993e-01,7.737132089e-02,6.716342533e-02,8.613644612e-09,4.054900144e-02,3.608592387e-03
8,random,independent,255;163;95;129,0.138922481;0.648519806;0.132564729;0.079992984,1,1.632964439e+00,7.333377672e-01,1.631814016e+00,3.560782551e-02,1.294734114e+00,9.951062416e-01,8.792037553e-01;2.161258336e+00;1.990936075e+00;1.063230198e+00;8.578975164e-01;2.170512085e+00;2.009951872e+00;1.143347595e+00,1.534542179e+00,2.170512085e+00,,,4.931302513e-09,9.880451881e-01,6.098341380e+00
9,random,shared,171;207;101;156,0.035282754;0.639327305;0.126539960;0.198849981,1,4.061586974e-01,1.823992643e-01,4.161030532e-01,3.175804428e-02,4.020728418e-01,5.746579274e-02,3.906825306e-01;3.797650205e-01;3.230130940e-01;3.857513643e-01;4.274327773e-01;4.553741292e-01;4.098974812e-01;4.600466209e-01,4.039953773e-01,4.600466209e-01,1.336184708e-01,1.159896727e-01,3.463439997e-09,5.697526060e-02,1.319563779e-03
9,random,independent,171;207;101;156,0.035282754;0.639327305;0.126539960;0.198849981,1,1.466919073e+00,6.587694945e-01,1.472572858e+00,3.175804428e-02,1.183191281e+00,8.671274184e-01,3.906825306e-01;1.743729083e+00;1.678920282e+00;1.626562612e+00;4.274327773e-01;1.712788780e+00;1.644664874e+00;1.654038271e+00,1.359852401e+00,1.743729083e+00,,,5.603179682e-09,8.660823645e-01,5.122747120e+00
10,random,shared,25;86;160;203,0.146710811;0.118950937;0.531619234;0.202719018,1,6.548932168e-01,2.941018911e-01,6.633229287e-01,4.132907946e-02,5.335276466e-01,3.797806944e-01,6.788993711e-01;6.049834539e-01;6.991452565e-01;6.229147799e-01;6.016662261e-01;7.174416169e-01;6.839869166e-01;6.186937304e-01,6.534664189e-01,7.174416169e-01,6.231027821e-02,5.408944386e-02,5.175624938e-09,3.779387992e-01,2.768443994e+00
10,random,independent,25;86;160;203,0.146710811;0.118950937;0.531619234;0.202719018,1,1.200190139e+00,5.389858688e-01,1.216397115e+00,4.132907946e-02,9.969593820e-01,6.682277753e-01,6.788993711e-01;1.158499733e+00;1.145714234e+00;1.644492482e+00;6.016662261e-01;1.151407249e+00;1.143697009e+00;1.645546897e+00,1.146240400e+00,1.645546897e+00,,,4.041252279e-09,6.607754984e-01,4.628005075e+00
11,random,shared,181;56;105;66,0.330170624;0.111828764;0.067663618;0.490336994,1,4.028729221e-01,1.809236761e-01,3.979835889e-01,4.462049552e-02,4.015260446e-01,3.291545024e-02,4.024806563e-01;3.761034066e-01;4.169536239e-01;3.976632805e-01;4.176187240e-01;4.091286362e-01;4.137955648e-01;3.873028033e-01,4.026308369e-01,4.176187240e-01,1.225755226e-01,1.064036631e-01,3.286701251e-09,5.047727687e-02,1.519533143e-03
11,random,independent,181;56;105;66,0.330170624;0.111828764;0.067663618;0.490336994,1,6.694339282e-01,3.006318880e-01,6.649134187e-01,4.462049552e-02,4.230538485e-01,5.188132858e-01,4.024806563e-01;4.644162700e-01;4.169536239e-01;7.121794170e-01;4.176187240e-01;4.091616248e-01;1.316547572e+00;6.717850351e-01,6.013928654e-01,1.316547572e+00,,,4.189726396e-09,5.092454264e-01,3.172053680e+00
12,random,shared,162;150;220;143,0.545084165;0.273881841;0.115722504;0.065311490,1,4.279250064e-01,1.921741597e-01,4.231268340e-01,3.877343467e-02,4.218508453e-01,7.184480140e-02,3.733608283e-01;4.511775100e-01;4.343105176e-01;4.629766781e-01;4.419574320e-01;4.113435492e-01;4.055066072e-01;4.359592981e-01,4.270740526e-01,4.629766781e-01,9.094636240e-02,7.894745946e-02,5.492837048e-09,5.199307543e-02,2.261266437e-03
12,random,independent,162;150;220;143,0.545084165;0.273881841;0.115722504;0.065311490,1,9.865029597e-01,4.430224325e-01,9.981668829e-01,3.877343467e-02,7.110203865e-01,6.838406975e-01,3.733608283e-01;1.045402533e+00;1.571895174e+00;4.629766781e-01;4.419574320e-01;1.043261104e+00;1.547338844e+00;4.359592981e-01,8.652689864e-01,1.571895174e+00,,,5.492837048e-09,6.795261207e-01,4.747923084e+00
13,random,shared,80;17;39;245,0.681669145;0.007157038;0.276756427;0.034417391,1,4.664427044e-01,2.094718313e-01,4.659418722e-01,3.378411387e-02,4.346531562e-01,1.692496094e-01,1.622077363e-01;2.411497937e-01;5.548081056e-01;5.474837660e-01;3.768699459e-01;5.486655312e-01;5.738302718e-01;5.255371431e-01,4.413190367e-01,5.738302718e-01,2.721408558e-02,2.362362674e-02,7.437391131e-09,1.861744308e-01,1.240470989e+00
13,random,independent,80;17;39;245,0.681669145;0.007157038;0.276756427;0.034417391,1,8.854437125e-01,3.976383685e-01,8.852533002e-01,3.378411387e-02,5.168875096e-01,7.189143693e-01,1.622077363e-01;7.872832956e-01;9.511868104e-01;8.210745033e-01;3.768699459e-01;7.685712896e-01;9.629532781e-01;1.545000556e+00,7.968934269e-01,1.545000556e+00,,,6.219885934e-09,7.297874849e-01,4.194589869e+00
14,random,shared,139;143;36;169,0.167589327;0.241989237;0.507915978;0.082505459,1,3.396199511e-01,1.525177957e-01,3.410935663e-01,4.863285674e-02,3.359069807e-01,5.008204798e-02,3.061697073e-01;3.698383257e-01;3.456972965e-01;3.523620884e-01;3.170206419e-01;3.309697868e-01;3.599540164e-01;3.300572213e-01,3.390086356e-01,3.698383257e-01,1.160974419e-01,1.007802604e-01,5.429494324e-09,4.796062165e-02,1.860437813e-03
14,random,independent,139;143;36;169,0.167589327;0.241989237;0.507915978;0.082505459,1,1.046097812e+00,4.697855115e-01,1.058718193e+00,4.863285674e-02,6.938437687e-01,7.828802319e-01,3.061697073e-01;8.665466762e-01;1.520863532e+00;1.111265225e+00;3.170206419e-01;9.059920756e-01;1.448042357e+00;1.159239127e+00,9.543924177e-01,1.520863532e+00,,,4.342147170e-09,7.822814418e-01,5.337045567e+00
15,random,shared,226;8;66;219,0.055117404;0.072077050;0.313216183;0.559589364,1,6.336308544e-01,2.845533099e-01,6.396865855e-01,3.258091210e-02,6.311633261e-01,5.586515406e-02,6.164842741e-01;6.692055517e-01;6.296800107e-01;6.517562160e-01;6.396918370e-01;5.913353058e-01;6.390506648e-01;6.288589850e-01,6.332578556e-01,6.692055517e-01,4.947171210e-02,4.294471909e-02,5.429494324e-09,4.796062165e-02,1.860437813e-03
15,random,independent,226;8;66;219,0.055117404;0.072077050;0.313216183;0.559589364,1,1.074035396e+00,4.823318258e-01,1.077984683e+00,3.258091210e-02,9.073846791e-01,5.746347322e-01,6.164842741e-01;1.181627342e+00;1.300153239e+00;1.058536615e+00;6.396918370e-01;1.164091666e+00;1.308738192e+00;1.078939893e+00,1.043532882e+00,1.308738192e+00,,,5.085744349e-09,5.813825452e-01,3.871091204e+00
