stage,finite,mean_pair_distance,rms_radius,radius_mean,radius_cv,radius_q05,radius_q25,radius_q50,radius_q75,radius_q95,uniform_ball_radius,radial_ks,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_relative_rmse,gate_pass
initial,True,5.737267732602291,4.326235196804943,4.056131072394997,0.37096842315116035,1.7727670695513775,3.0079927476460706,3.9140761239414203,5.011190356584895,6.771819221536647,5.2985343697206355,0.2047383842813148,0.010041237013873841,0.07600102879288832,0.5340753624205618,,,0
terminal,True,0.9660260607625935,0.7127465462225884,0.7043500452348157,0.15486752279509083,0.462104340038916,0.6682067722523855,0.7386113638539501,0.7766582547663035,0.8147873850715049,0.8729326770881833,0.19448745703017278,0.0004399091544472728,0.014763104142629394,0.8864730140953557,,,0
