target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,257,shared_d1,d1,441;232;438;110,0.594924288;0.405075712;0.000000000;0.000000000,1.096582770e-01,1.096582770e-01,2.212616755e-01,2.212616755e-01,1.852819547e-01,1.116439863e-01,1.880348794e-01,2.113564524e-01,3.559742567e-01,1.096582770e-01,1.821446161e-01,1.684236524e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.002260053e+00,1.096582770e-01,1.821446161e-01,0.000000000e+00,0.000000000e+00,1.852819547e-01,1.647387793e-05,6.973128022e-04,3.836689489e-03
0,257,shared_du,du,441;232;438;110,0.490227242;0.122814853;0.386957905;0.000000000,1.083737817e-01,1.452156862e-01,1.083737817e-01,1.452156862e-01,8.233879499e-02,1.455506646e-01,2.772772915e-01,2.755461635e-01,5.249216425e-01,1.452156862e-01,2.772845116e-01,1.905022504e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.477938315e+00,1.452156862e-01,2.772845116e-01,0.000000000e+00,0.000000000e+00,8.233879499e-02,1.788347565e-05,2.766294658e-03,1.522044856e-02
0,257,per_particle_d1,d1,441;232;438;110,0.594924288;0.405075712;0.000000000;0.000000000,1.096582770e-01,1.096582770e-01,2.212616755e-01,2.212616755e-01,1.852819547e-01,1.116439863e-01,1.880348794e-01,2.113564524e-01,3.559742567e-01,1.096582770e-01,1.821446161e-01,1.684236524e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.002260053e+00,1.096582770e-01,1.821446161e-01,0.000000000e+00,0.000000000e+00,1.852819547e-01,1.647387793e-05,6.973128022e-04,3.836689489e-03
0,257,per_particle_du,du,441;232;438;110,0.490227242;0.122814853;0.386957905;0.000000000,1.083737817e-01,1.452156862e-01,1.083737817e-01,1.452156862e-01,8.233879499e-02,1.455506646e-01,2.772772915e-01,2.755461635e-01,5.249216425e-01,1.452156862e-01,2.772845116e-01,1.905022504e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.477938315e+00,1.452156862e-01,2.772845116e-01,0.000000000e+00,0.000000000e+00,8.233879499e-02,1.788347565e-05,2.766294658e-03,1.522044856e-02
