target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,259,shared_d1,d1,228;422;424;44,0.246664619;0.428935507;0.211916414;0.112483459,3.744101656e-01,3.744101656e-01,6.807309770e-01,6.807309770e-01,6.799259366e-01,4.314892241e-01,5.684318361e-01,nan,nan,3.744101656e-01,4.947777411e-01,1.317372032e+00,5.874387904e-01,nan,5.093952509e-01,9.676443663e-01,3.744101656e-01,4.947777411e-01,5.008252798e-01,8.030810964e-01,6.799259366e-01,8.396805318e-06,2.315646475e-01,4.545873702e-01
0,259,shared_du,du,228;422;424;44,0.465771773;0.262344589;0.139914596;0.131969042,6.543738927e-01,3.951625530e-01,6.543738927e-01,3.951625530e-01,6.537849142e-01,4.569215277e-01,5.384431224e-01,nan,nan,3.951625530e-01,4.659857528e-01,1.178414869e+00,5.874387904e-01,nan,5.093952509e-01,9.165944285e-01,3.951625530e-01,4.659857528e-01,6.267616209e-01,7.953925392e-01,6.537849142e-01,1.052346025e-05,2.076740786e-01,4.076875044e-01
0,259,per_particle_d1,d1,228;422;424;44,0.489324145;0.251102983;0.109588386;0.149984486|0.202413093;0.243118423;0.000000000;0.554468484|0.498187536;0.501812464;0.000000000;0.000000000|0.000000000;0.000000000;1.000000000;0.000000000|0.263898190;0.523093736;0.213008074;0.000000000|0.124032641;0.000000000;0.875967359;0.000000000,2.605078423e-01,2.605078423e-01,4.500031991e-01,4.500031991e-01,4.488109051e-01,3.061640076e-01,3.672028009e-01,nan,nan,2.605078423e-01,3.167641752e-01,1.199366326e+00,5.874387904e-01,nan,5.093952509e-01,6.250911702e-01,2.605078423e-01,3.167641752e-01,3.538702849e-01,4.850793823e-01,4.488109051e-01,6.286801544e-06,3.559169864e-01,6.987049561e-01
0,259,per_particle_du,du,228;422;424;44,0.000000000;0.303953593;0.218481311;0.477565097|0.131760675;0.000000000;0.011580979;0.856658347|0.728840345;0.271159655;0.000000000;0.000000000|0.000000000;0.049541478;0.950458522;0.000000000|0.483501037;0.516498963;0.000000000;0.000000000|0.000000000;0.000000000;1.000000000;0.000000000,4.097116465e-01,2.773291162e-01,4.097116465e-01,2.773291162e-01,4.082287550e-01,3.272526958e-01,4.230663366e-01,nan,nan,2.773291162e-01,3.625634945e-01,1.292781823e+00,5.874387904e-01,nan,5.093952509e-01,7.201879472e-01,2.773291162e-01,3.625634945e-01,3.927359609e-01,6.674138108e-01,4.082287550e-01,1.455422285e-05,3.199836811e-01,6.281638483e-01
