seed,particles_per_source,source_count,condition,run_directory,target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
42,10,512,seed42_p10,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p10\runs\001_20260720T111810_647697Z_seed42,0,259,shared_d1,d1,373;160;264;30,0.269550638;0.188865056;0.250606258;0.290978049,6.326266444e-01,6.326266444e-01,6.177456562e-01,6.177456562e-01,6.169855495e-01,5.717171348e-01,6.410600092e-01,nan,nan,6.326266444e-01,7.117682337e-01,1.121288781e+00,6.620814708e-01,nan,7.317180864e-01,9.682494337e-01,6.326266444e-01,7.117682337e-01,1.377033540e+00,1.471731601e+00,6.169855495e-01,1.253125088e-05,3.548108146e-01,4.849009765e-01
42,10,512,seed42_p10,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p10\runs\001_20260720T111810_647697Z_seed42,0,259,shared_du,du,373;160;264;30,0.000000000;0.507966644;0.128492223;0.363541134,5.464209478e-01,6.631798705e-01,5.464209478e-01,6.631798705e-01,5.462619689e-01,5.992925876e-01,6.107376022e-01,nan,nan,6.631798705e-01,6.766879653e-01,1.019097541e+00,6.620814708e-01,nan,7.317180864e-01,9.224508300e-01,6.631798705e-01,6.766879653e-01,1.386264800e+00,1.260092685e+00,5.462619689e-01,1.549012284e-05,3.413676371e-01,4.665289043e-01
42,10,512,seed42_p10,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p10\runs\001_20260720T111810_647697Z_seed42,0,259,per_particle_d1,d1,373;160;264;30,0.654092179;0.000000000;0.345907821;0.000000000|0.678975540;0.148998198;0.172026261;0.000000000|0.000000000;0.526673844;0.000000000;0.473326156|0.000000000;0.162512447;0.137634982;0.699852572|0.000000000;0.673884020;0.000000000;0.326115980|0.479690209;0.000000000;0.000000000;0.520309791|0.523610007;0.267029829;0.006380527;0.202979637|0.159219222;0.000000000;0.451576157;0.389204622|0.000000000;0.544586400;0.000000000;0.455413600|0.000000000;0.030130703;0.000000000;0.969869297,4.881640691e-01,4.881640691e-01,5.999914214e-01,5.999914214e-01,5.986434776e-01,4.434949905e-01,4.942671999e-01,nan,nan,4.881640691e-01,5.457591962e-01,1.114482036e+00,6.620814708e-01,nan,7.317180864e-01,7.465353159e-01,4.881640691e-01,5.457591962e-01,9.305761723e-01,1.136930883e+00,5.986434776e-01,1.355516589e-05,3.579028914e-01,4.891267525e-01
42,10,512,seed42_p10,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p10\runs\001_20260720T111810_647697Z_seed42,0,259,per_particle_du,du,373;160;264;30,0.444263585;0.402435552;0.153300863;0.000000000|0.000000000;0.798932356;0.113026904;0.088040740|0.000000000;0.677698028;0.000000000;0.322301972|0.000000000;0.048865334;0.513918063;0.437216603|0.000000000;0.462174803;0.226738862;0.311086335|0.000000000;0.559771003;0.000000000;0.440228997|0.129026638;0.450898429;0.089240547;0.330834385|0.000000000;0.000000000;0.136549037;0.863450963|0.000000000;0.000000000;0.528093429;0.471906571|0.000000000;0.369124954;0.000000000;0.630875046,4.559555896e-01,5.878443370e-01,4.559555896e-01,5.878443370e-01,4.548029112e-01,5.313679386e-01,5.895066662e-01,nan,nan,5.878443370e-01,6.519679299e-01,1.109413315e+00,6.620814708e-01,nan,7.317180864e-01,8.903838760e-01,5.878443370e-01,6.519679299e-01,1.200067777e+00,1.378518492e+00,4.548029112e-01,1.092199874e-05,4.017741452e-01,5.490832503e-01
42,1,512,seed42_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p01\runs\001_20260720T122521_237743Z_seed42,0,259,shared_d1,d1,434;269;162;377,0.106117826;0.440539590;0.084598593;0.368743991,1.059331358e-01,1.059331358e-01,2.502526245e-01,2.502526245e-01,2.187761070e-01,1.046631251e-01,2.250540491e-01,1.972854302e-01,4.242170759e-01,1.059331358e-01,2.193388819e-01,2.150270679e+00,1.763001150e-01,3.323180345e-01,1.717452618e-01,1.276539435e+00,1.059331358e-01,2.193388819e-01,0.000000000e+00,0.000000000e+00,2.187761070e-01,1.636930033e-05,7.516372035e-04,4.376465445e-03
42,1,512,seed42_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p01\runs\001_20260720T122521_237743Z_seed42,0,259,shared_du,du,434;269;162;377,0.440615447;0.259294866;0.300089687;0.000000000,1.572568947e-01,1.483782197e-01,1.572568947e-01,1.483782197e-01,1.056784891e-01,1.520836982e-01,2.250540491e-01,2.866711441e-01,4.242170759e-01,1.483782197e-01,2.193388819e-01,1.479803896e+00,1.763001150e-01,3.323180345e-01,1.717452618e-01,1.276539435e+00,1.483782197e-01,2.193388819e-01,0.000000000e+00,0.000000000e+00,1.056784891e-01,1.637652729e-05,7.516372035e-04,4.376465445e-03
42,1,512,seed42_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p01\runs\001_20260720T122521_237743Z_seed42,0,259,per_particle_d1,d1,434;269;162;377,0.106117826;0.440539590;0.084598593;0.368743991,1.059331358e-01,1.059331358e-01,2.502526245e-01,2.502526245e-01,2.187761070e-01,1.046631251e-01,2.250540491e-01,1.972854302e-01,4.242170759e-01,1.059331358e-01,2.193388819e-01,2.150270679e+00,1.763001150e-01,3.323180345e-01,1.717452618e-01,1.276539435e+00,1.059331358e-01,2.193388819e-01,0.000000000e+00,0.000000000e+00,2.187761070e-01,1.636930033e-05,7.516372035e-04,4.376465445e-03
42,1,512,seed42_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p01\runs\001_20260720T122521_237743Z_seed42,0,259,per_particle_du,du,434;269;162;377,0.440615447;0.259294866;0.300089687;0.000000000,1.572568947e-01,1.483782197e-01,1.572568947e-01,1.483782197e-01,1.056784891e-01,1.520836982e-01,2.250540491e-01,2.866711441e-01,4.242170759e-01,1.483782197e-01,2.193388819e-01,1.479803896e+00,1.763001150e-01,3.323180345e-01,1.717452618e-01,1.276539435e+00,1.483782197e-01,2.193388819e-01,0.000000000e+00,0.000000000e+00,1.056784891e-01,1.637652729e-05,7.516372035e-04,4.376465445e-03
42,2,512,seed42_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p02\runs\001_20260720T122801_776902Z_seed42,0,259,shared_d1,d1,471;317;68;92,0.135979493;0.479925136;0.000000000;0.384095371,2.340990025e-01,2.340990025e-01,4.636455866e-01,4.636455866e-01,4.671784059e-01,2.916531657e-01,5.551456098e-01,nan,nan,2.340990025e-01,4.509461890e-01,1.903444485e+00,4.757957684e-01,nan,3.835495864e-01,1.166772903e+00,2.340990025e-01,4.509461890e-01,3.580242736e-02,4.266587314e-01,4.671784059e-01,8.196252010e-06,3.117894715e-01,8.129052475e-01
42,2,512,seed42_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p02\runs\001_20260720T122801_776902Z_seed42,0,259,shared_du,du,471;317;68;92,0.294964975;0.361968471;0.000000000;0.343066554,4.404150087e-01,2.406292032e-01,4.404150087e-01,2.406292032e-01,4.453509439e-01,2.966236851e-01,5.140485319e-01,nan,nan,2.406292032e-01,4.130351336e-01,1.732998940e+00,4.757957684e-01,nan,3.835495864e-01,1.080397444e+00,2.406292032e-01,4.130351336e-01,1.242266458e-01,9.459328579e-01,4.453509439e-01,8.565758361e-06,1.055792286e-01,2.752687848e-01
42,2,512,seed42_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p02\runs\001_20260720T122801_776902Z_seed42,0,259,per_particle_d1,d1,471;317;68;92,0.000000000;0.601095742;0.000000000;0.398904258|0.698613669;0.178703323;0.000000000;0.122683007,1.653645117e-01,1.653645117e-01,2.880810620e-01,2.880810620e-01,2.928841883e-01,2.009962460e-01,5.332370314e-01,nan,nan,1.653645117e-01,4.352335396e-01,2.652970103e+00,4.757957684e-01,nan,3.835495864e-01,1.120726721e+00,1.653645117e-01,4.352335396e-01,2.284578667e-01,6.320912363e-01,2.928841883e-01,8.057912770e-06,2.113196437e-01,5.509578192e-01
42,2,512,seed42_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p02\runs\001_20260720T122801_776902Z_seed42,0,259,per_particle_du,du,471;317;68;92,0.000000000;0.666612574;0.000000000;0.333387426|0.683212888;0.178473306;0.000000000;0.138313806,2.850817206e-01,1.707199656e-01,2.850817206e-01,1.707199656e-01,2.872825918e-01,2.078464381e-01,6.302095764e-01,nan,nan,1.707199656e-01,5.091920976e-01,3.032092261e+00,4.757957684e-01,nan,3.835495864e-01,1.324538002e+00,1.707199656e-01,5.091920976e-01,3.105144176e-01,4.271778901e-01,2.872825918e-01,9.366417321e-06,2.642877944e-01,6.890576963e-01
42,3,512,seed42_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p03\runs\001_20260720T123259_583404Z_seed42,0,259,shared_d1,d1,504;449;507;512,0.426600845;0.132858977;0.440540179;0.000000000,6.629370334e-01,6.629370334e-01,8.891149157e-01,8.891149157e-01,8.841209353e-01,4.694826269e-01,4.851630352e-01,nan,nan,6.629370334e-01,6.881485026e-01,1.033399337e+00,5.968465363e-01,nan,8.452955806e-01,8.128773575e-01,6.629370334e-01,6.881485026e-01,1.627150202e+00,1.607520014e+00,8.841209353e-01,8.144460779e-06,4.283481598e-01,5.067436405e-01
42,3,512,seed42_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p03\runs\001_20260720T123259_583404Z_seed42,0,259,shared_du,du,504;449;507;512,0.098603777;0.465474404;0.170178064;0.265743755,8.291603407e-01,7.185513489e-01,8.291603407e-01,7.185513489e-01,8.160065502e-01,5.074539531e-01,5.214624866e-01,nan,nan,7.185513489e-01,7.350246360e-01,1.027605526e+00,5.968465363e-01,nan,8.452955806e-01,8.736960926e-01,7.185513489e-01,7.350246360e-01,1.852775488e+00,1.499670012e+00,8.160065502e-01,7.863375758e-06,4.626054232e-01,5.472706043e-01
42,3,512,seed42_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p03\runs\001_20260720T123259_583404Z_seed42,0,259,per_particle_d1,d1,504;449;507;512,0.277326533;0.722673467;0.000000000;0.000000000|0.350389808;0.000000000;0.100739712;0.548870480|0.187968822;0.000000000;0.305289992;0.506741185,5.677962069e-01,5.677962069e-01,6.121324644e-01,6.121324644e-01,5.970740483e-01,4.002665148e-01,4.409088750e-01,nan,nan,5.677962069e-01,6.193764980e-01,1.101538247e+00,5.968465363e-01,nan,8.452955806e-01,7.387307259e-01,5.677962069e-01,6.193764980e-01,1.320481737e+00,1.297835696e+00,5.970740483e-01,6.785161050e-06,4.150473986e-01,4.910085987e-01
42,3,512,seed42_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p03\runs\001_20260720T123259_583404Z_seed42,0,259,per_particle_du,du,504;449;507;512,0.000000000;1.000000000;0.000000000;0.000000000|0.583857755;0.416142245;0.000000000;0.000000000|0.367063223;0.000000000;0.051924531;0.581012245,5.502052526e-01,6.746744498e-01,5.502052526e-01,6.746744498e-01,5.369605771e-01,4.757063082e-01,7.046650757e-01,nan,nan,6.746744498e-01,1.000253825e+00,1.481302778e+00,5.968465363e-01,nan,8.452955806e-01,1.180647005e+00,6.746744498e-01,1.000253825e+00,2.091381953e+00,2.902437133e+00,5.369605771e-01,1.079663449e-05,3.016415125e-01,3.568473791e-01
42,4,512,seed42_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p04\runs\001_20260720T124142_226845Z_seed42,0,259,shared_d1,d1,364;294;255;3,0.190731514;0.353967020;0.085126492;0.370174973,3.846853973e-01,3.846853973e-01,8.209743629e-01,8.209743629e-01,8.143952708e-01,3.587459446e-01,5.208160570e-01,nan,nan,3.846853973e-01,5.659818556e-01,1.451768486e+00,4.326258656e-01,nan,4.669329273e-01,1.203848633e+00,3.846853973e-01,5.659818556e-01,7.087224897e-01,1.004685878e+00,8.143952708e-01,8.363834355e-06,2.007322364e-01,4.298952262e-01
42,4,512,seed42_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p04\runs\001_20260720T124142_226845Z_seed42,0,259,shared_du,du,364;294;255;3,0.412011787;0.172534521;0.095915048;0.319538644,8.054071745e-01,3.927983734e-01,8.054071745e-01,3.927983734e-01,8.010890151e-01,3.667851354e-01,4.481901743e-01,nan,nan,3.927983734e-01,4.881402362e-01,1.221942034e+00,4.326258656e-01,nan,4.669329273e-01,1.035976371e+00,3.927983734e-01,4.881402362e-01,7.798429177e-01,7.650048780e-01,8.010890151e-01,9.072906167e-06,1.981706033e-01,4.244091425e-01
42,4,512,seed42_p04,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\001_20260720T111809_739219Z_seed42-43-44\conditions\seed42_p04\runs\001_20260720T124142_226845Z_seed42,0,259,per_particle_d1,d1,364;294;255;3,0.000000000;1.000000000;0.000000000;0.000000000|0.927305059;0.072694941;0.000000000;0.000000000|0.427611570;0.366748834;0.000000000;0.205639596|0.189033396;0.000000000;0.208394159;0.602572445,2.231771525e-01,2.231771525e-01,6.360311383e-01,6.360311383e-01,6.196450891e-01,2.107107257e-01,2.748021849e-01,nan,nan,2.231771525e-01,2.920291372e-01,1.304167996e+00,4.326258656e-01,nan,4.669329273e-01,6.351959204e-01,2.231771525e-01,2.920291372e-01,3.418581467e-01,4.911022977e-01,6.196450891e-01,1.074949686e-05,3.586396085e-01,7.680752149e-01
