stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.453266657426775,1.923473174530618,1.0,0.48004816831401714,0.20412414523193154,0.3076786401858542,0.383203125,0.116015625,0.0537109375,0.0314453125,0.035546875,0.0359375,0.04609375,0.0421875,0.0314453125,0.02578125,0.1986328125,0.11741778204942191,0.21746431424994578,0.27441324670515665,,,,,,1
terminal,,,True,1.1876366231677216,0.8792475741707494,0.4571145497702669,0.21886983666180146,0.20412414523193154,0.04486337096533766,0.1158203125,0.1041015625,0.099609375,0.100390625,0.08515625,0.073046875,0.08828125,0.1109375,0.101171875,0.0765625,0.044921875,0.0007353739461008251,0.02165059346989652,0.8469706710375333,,,,,,1
vertex,132,0,,,,,,,,,,,,,,,,,,,,,,1.881250348e-03,2.023401209e-03,1.954883298e-03,2.102598005e-03,4.566788529e-06,1
vertex,132,1,,,,,,,,,,,,,,,,,,,,,,6.525288068e-04,2.023401209e-03,6.780690656e-04,2.102598005e-03,2.171211924e-06,1
vertex,132,2,,,,,,,,,,,,,,,,,,,,,,1.105749687e-03,2.023401209e-03,1.149029207e-03,2.102598005e-03,3.019106236e-06,1
vertex,132,3,,,,,,,,,,,,,,,,,,,,,,1.725200946e-03,2.023401209e-03,1.792726055e-03,2.102598005e-03,3.427479706e-06,1
vertex,132,4,,,,,,,,,,,,,,,,,,,,,,9.206003119e-04,2.023401209e-03,9.566330049e-04,2.102598005e-03,2.818730563e-06,1
vertex,132,5,,,,,,,,,,,,,,,,,,,,,,3.571685285e-03,2.023401209e-03,3.711482586e-03,2.102598005e-03,1.715152312e-05,1
vertex,132,6,,,,,,,,,,,,,,,,,,,,,,1.378634753e-03,2.023401209e-03,1.432595112e-03,2.102598005e-03,3.212673056e-06,1
vertex,132,7,,,,,,,,,,,,,,,,,,,,,,1.370277059e-03,2.023401209e-03,1.423910294e-03,2.102598005e-03,3.121859842e-06,1
vertex,132,8,,,,,,,,,,,,,,,,,,,,,,3.381251209e-03,2.023401209e-03,3.513594839e-03,2.102598005e-03,1.569967398e-05,1
vertex,132,9,,,,,,,,,,,,,,,,,,,,,,1.990485793e-03,2.023401209e-03,2.068394264e-03,2.102598005e-03,7.322061925e-06,1
vertex,340,0,,,,,,,,,,,,,,,,,,,,,,2.785203478e-03,1.831583256e-03,2.894217543e-03,1.903272215e-03,5.978721820e-06,1
vertex,340,1,,,,,,,,,,,,,,,,,,,,,,2.114894635e-03,1.831583256e-03,2.197672523e-03,1.903272215e-03,7.728759931e-06,1
vertex,340,2,,,,,,,,,,,,,,,,,,,,,,1.824138305e-03,1.831583256e-03,1.895535864e-03,1.903272215e-03,9.076422281e-06,1
