target,target_source_id,method,parent_source_ids,lambda,lambda_fit_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
43,3146,shared_lambda,3025;509;3423;886,0.302303778;0.243872684;0.303533510;0.150290028,1.027020310e-02,1.056160488e-02,9.920844598e-03,8.646203105e-03,8.121648017e-03,1.062442713e-02,9.978515086e-03,9.393311629e-01,2.514149159e-02,2.058195180e-02,2.501514943e-02,3.946004780e-01,1.062442713e-02,9.978515086e-03,0.000000000e+00,0.000000000e+00,1.027020310e-02,5.142977068e-09,2.549694592e-02,1.019260188e+00
44,3206,shared_lambda,1386;3332;701;802,0.249157254;0.208764374;0.402519206;0.139559166,3.905032612e-03,8.691626417e-04,4.155107640e-03,7.115354923e-04,3.401557336e-03,8.738723874e-04,4.146986288e-03,4.780587016e+00,2.167508048e-02,1.774419231e-02,2.171836174e-02,1.916997560e-01,8.738723874e-04,4.146986288e-03,0.000000000e+00,0.000000000e+00,3.905032612e-03,7.025465522e-09,1.786009497e-02,8.223500088e-01
45,3238,shared_lambda,3353;3533;1691;2974,0.301421090;0.251054591;0.249522214;0.198002106,1.830633714e-02,1.645724188e-02,1.439033613e-02,1.347263578e-02,1.178057409e-02,1.655597337e-02,1.447435458e-02,8.744075243e-01,1.608821293e-02,1.317053214e-02,1.608549717e-02,8.944645490e-01,1.655597337e-02,1.447435458e-02,0.000000000e+00,0.000000000e+00,1.830633714e-02,8.155715926e-09,2.721751227e-03,1.692052909e-01
46,3314,shared_lambda,2289;302;2124;2884,0.256855036;0.395498822;0.221746391;0.125899750,1.115569253e-04,2.693377051e-03,4.839366604e-04,2.204919165e-03,3.961722391e-04,2.693504354e-03,4.835960856e-04,1.796765366e-01,1.354623928e-02,1.108955859e-02,1.354400651e-02,3.572479789e-02,2.693504354e-03,4.835960856e-04,0.000000000e+00,0.000000000e+00,1.115569253e-04,6.260883369e-09,1.358795297e-02,1.003244717e+00
47,3325,shared_lambda,2429;2237;3902;3212,0.257337802;0.248015879;0.257206705;0.237439614,5.714027778e-03,1.961212378e-02,3.337858972e-02,1.605536349e-02,2.732520950e-02,1.954491877e-02,3.327868711e-02,1.701936522e+00,7.487786562e-03,6.129837664e-03,7.444358657e-03,4.457737870e+00,1.954491877e-02,3.327868711e-02,0.000000000e+00,0.000000000e+00,5.714027778e-03,7.715087622e-09,3.206293216e-02,4.307010670e+00
48,3342,shared_lambda,2056;1733;777;2293,0.248200236;0.221365545;0.312115780;0.218318439,4.923261557e-03,4.576667164e-03,4.502475269e-03,3.746664856e-03,3.685928046e-03,4.551033782e-03,4.486619739e-03,9.837890997e-01,1.162245178e-02,9.514659919e-03,1.163600255e-02,3.873946181e-01,4.551033782e-03,4.486619739e-03,0.000000000e+00,0.000000000e+00,4.923261557e-03,5.887546189e-09,7.750735642e-03,6.660995139e-01
49,3391,shared_lambda,1945;1136;2532;3335,0.251756978;0.250089229;0.250057360;0.248096433,6.543775116e-03,3.122192518e-02,3.804003144e-02,2.555966724e-02,3.114127460e-02,3.105789929e-02,3.784290838e-02,1.218375588e+00,1.324712860e-02,1.084469318e-02,1.332462961e-02,2.871568065e+00,3.105789929e-02,3.784290838e-02,0.000000000e+00,0.000000000e+00,6.543775116e-03,6.289622486e-09,1.745892523e-02,1.310274713e+00
50,3504,shared_lambda,2118;3472;2615;3161,0.207737741;0.452315879;0.174611057;0.165335323,1.377614663e-02,1.358791846e-02,1.475868231e-02,1.112367903e-02,1.208211879e-02,1.354596249e-02,1.473888112e-02,1.086162119e+00,3.400655674e-02,2.783929144e-02,3.385182501e-02,4.339951975e-01,1.354596249e-02,1.473888112e-02,0.000000000e+00,0.000000000e+00,1.377614663e-02,6.300423376e-09,2.895595498e-02,8.553735277e-01
51,3532,shared_lambda,377;2094;2347;1698,0.485421994;0.204076447;0.310501559;0.000000000,6.605203949e-03,9.813845062e-03,8.422397934e-03,8.034053402e-03,6.894952421e-03,9.844469963e-03,8.448631304e-03,8.582159063e-01,2.748702432e-02,2.250211001e-02,2.741449889e-02,3.064135949e-01,9.844469963e-03,8.448631304e-03,0.000000000e+00,0.000000000e+00,6.605203949e-03,7.119985284e-09,2.833468406e-02,1.033565639e+00
52,3585,shared_lambda,2882;1146;1291;1696,0.266979581;0.358351994;0.137030623;0.237637802,3.933895007e-03,6.808013932e-03,4.073429352e-03,5.573345324e-03,3.334691829e-03,6.770837283e-03,4.068542822e-03,5.983285864e-01,2.256240530e-02,1.847059617e-02,2.244146884e-02,1.805405628e-01,6.770837283e-03,4.068542822e-03,0.000000000e+00,0.000000000e+00,3.933895007e-03,5.342836942e-09,2.016260186e-02,8.984528601e-01
53,3593,shared_lambda,765;3250;3449;4140,0.654068664;0.345931336;0.000000000;0.000000000,3.055085333e-02,3.664299444e-02,3.718052318e-02,2.999759750e-02,3.043764262e-02,3.654837719e-02,3.708536207e-02,1.014669345e+00,4.235900588e-02,3.467698064e-02,4.249497141e-02,8.777477754e-01,3.654837719e-02,3.708536207e-02,0.000000000e+00,0.000000000e+00,3.055085333e-02,6.326214571e-09,2.063019788e-02,4.854738618e-01
54,3627,shared_lambda,2488;3125;3844;333,0.253823815;0.252317737;0.252123872;0.241734576,7.512785226e-03,1.984980382e-02,1.714868286e-02,1.624993903e-02,1.403868035e-02,1.988549863e-02,1.717187576e-02,8.639220322e-01,7.909491624e-03,6.475064329e-03,7.922711040e-03,2.168114422e+00,1.988549863e-02,1.717187576e-02,0.000000000e+00,0.000000000e+00,7.512785226e-03,2.891087031e-09,5.588352176e-03,7.053585758e-01
55,3660,shared_lambda,3553;1739;1185;2350,0.378371968;0.489597531;0.132030500;0.000000000,4.798020802e-03,7.201130566e-03,6.349382618e-03,5.895168219e-03,5.197889176e-03,7.181040052e-03,6.349676594e-03,8.817202466e-01,2.582927161e-02,2.114499935e-02,2.586119406e-02,2.458212029e-01,7.181040052e-03,6.349676594e-03,0.000000000e+00,0.000000000e+00,4.798020802e-03,5.964922172e-09,2.595378409e-02,1.003580269e+00
56,3685,shared_lambda,1122;1014;3726;2288,0.079953784;0.408671078;0.452226030;0.059149108,2.830153575e-03,2.485631644e-03,3.111801208e-03,2.034849464e-03,2.547459933e-03,2.486057215e-03,3.113168451e-03,1.251915671e+00,2.972605721e-02,2.433508268e-02,2.957274190e-02,1.046826085e-01,2.486057215e-03,3.113168451e-03,0.000000000e+00,0.000000000e+00,2.830153575e-03,5.094118062e-09,2.700160109e-02,9.130570707e-01
57,3767,shared_lambda,3419;1763;3080;2046,0.268297427;0.374099623;0.234036781;0.123566169,2.592918229e-03,2.346839147e-03,2.086747636e-03,1.921227706e-03,1.708305138e-03,2.358363245e-03,2.095337000e-03,8.891736948e-01,2.088385619e-02,1.709646064e-02,2.080374256e-02,9.992156700e-02,2.358363245e-03,2.095337000e-03,0.000000000e+00,0.000000000e+00,2.592918229e-03,6.467581289e-09,1.929646457e-02,9.275477485e-01
58,3769,shared_lambda,1725;1209;236;3209,0.343861941;0.284462334;0.152458192;0.219217533,2.011134362e-02,1.706098714e-02,1.792119505e-02,1.396688870e-02,1.467109345e-02,1.697000963e-02,1.782363239e-02,1.050419586e+00,9.839287759e-03,8.054881934e-03,9.794985328e-03,1.821391495e+00,1.697000963e-02,1.782363239e-02,0.000000000e+00,0.000000000e+00,2.011134362e-02,6.523186775e-09,8.283383772e-03,8.456759756e-01
59,3796,shared_lambda,3108;1086;3113;3787,0.264531395;0.240156883;0.246224221;0.249087501,4.827395098e-03,5.410455969e-03,6.225299299e-03,4.429241740e-03,5.096309010e-03,5.421591292e-03,6.193708151e-03,1.150605297e+00,1.759001089e-02,1.439997126e-02,1.768112543e-02,3.539110542e-01,5.421591292e-03,6.193708151e-03,0.000000000e+00,0.000000000e+00,4.827395098e-03,5.042701926e-09,1.876015842e-02,1.061027393e+00
60,3841,shared_lambda,4082;1129;3081;2128,0.349247618;0.349718200;0.237263360;0.063770822,1.541425884e-02,1.479407395e-02,1.475149358e-02,1.211109197e-02,1.207623377e-02,1.475392684e-02,1.472045013e-02,9.971217952e-01,9.650473185e-03,7.900309861e-03,9.702615755e-03,1.528577231e+00,1.475392684e-02,1.472045013e-02,0.000000000e+00,0.000000000e+00,1.541425884e-02,6.330388152e-09,1.002084244e-02,1.032798031e+00
61,3969,shared_lambda,995;2626;159;444,0.264871823;0.172199188;0.322866671;0.240062318,6.318131687e-03,4.798382257e-03,4.768246604e-03,3.928170768e-03,3.903500371e-03,4.793713401e-03,4.740405621e-03,9.937196222e-01,1.768854320e-02,1.448063422e-02,1.779283864e-02,2.695669480e-01,4.793713401e-03,4.740405621e-03,0.000000000e+00,0.000000000e+00,6.318131687e-03,3.431500019e-09,1.830359079e-02,1.028705490e+00
62,4110,shared_lambda,1645;3713;511;3324,0.326699109;0.261592270;0.183723145;0.227985477,1.884939373e-02,1.243084966e-02,1.296683690e-02,1.017645065e-02,1.061523383e-02,1.250542815e-02,1.304407125e-02,1.043117507e+00,2.931203594e-03,2.399614632e-03,2.937627685e-03,4.423724414e+00,1.250542815e-02,1.304407125e-02,0.000000000e+00,0.000000000e+00,1.884939373e-02,6.163765574e-09,1.086891559e-02,3.699895546e+00
63,4147,shared_lambda,1401;1494;1670;1263,0.827836658;0.172163342;0.000000000;0.000000000,4.112285005e-03,5.026278870e-03,4.756225562e-03,4.114737149e-03,3.893659408e-03,5.056306397e-03,4.784016121e-03,9.462717221e-01,7.510366398e-03,6.148322531e-03,7.487093230e-03,6.332880861e-01,5.056306397e-03,4.784016121e-03,0.000000000e+00,0.000000000e+00,4.112285005e-03,5.818685095e-09,7.165097933e-03,9.569932834e-01
