stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,0,True,5.906247458218969,4.444258477249022,1.0,4.185099049259133,0.3573279573967197,0.20412414523193154,0.3603743511683275,0.5680988186747986,0.752729522941124,0.947593780657538,1.2587313426789015,5.443082777149333,0.19181733547963653,0.2421875,0.14404296875,0.09765625,0.07568359375,0.05517578125,0.05224609375,0.04296875,0.0390625,0.02685546875,0.0322265625,0.19189453125,0.017986531818449683,0.0744486496668571,0.5998462206659401,,,,,,,1
terminal,0,True,1.1892542002673732,0.8815705551849786,0.19836167488860082,0.8586244143703744,0.23272902414584415,0.20412414523193154,0.45509025677942994,0.6822842244045312,0.8254302277293328,0.9289922857666026,1.0566421533355974,1.0796990162326383,0.10693359375,0.11865234375,0.11328125,0.10693359375,0.09912109375,0.1015625,0.10107421875,0.078125,0.072265625,0.0625,0.0390625,0.107421875,0.0026713601817288076,0.03806244082039688,0.7515592913696284,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,0,3.115684130e-03,1.399203063e-03,1.283456338e-03,2.192787983e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,1,3.754588998e-03,1.686124846e-03,1.283456338e-03,2.248625014e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,2,1.769646517e-03,7.947194655e-04,1.283456338e-03,1.956939026e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,3,2.779273184e-03,1.248126379e-03,1.283456338e-03,2.178948412e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,4,2.028358851e-03,9.109029661e-04,1.283456338e-03,2.099987522e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,5,2.497981343e-03,1.121802789e-03,1.283456338e-03,2.140343550e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,6,3.376403524e-03,1.516287901e-03,1.283456338e-03,2.214356926e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,7,2.987989890e-03,1.341857656e-03,1.283456338e-03,2.168862139e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,2.469564349e-03,1.109041178e-03,1.385430594e-03,2.088503910e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,1.695528001e-03,7.614340453e-04,1.385430594e-03,1.892580650e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2,3.968241367e-03,1.782072650e-03,1.385430594e-03,2.262553812e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,3,3.807743772e-03,1.709995790e-03,1.385430594e-03,2.266431331e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,4,4.034842853e-03,1.811982294e-03,1.385430594e-03,2.293431675e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,5,3.081071980e-03,1.383659309e-03,1.385430594e-03,2.200154212e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,6,2.288920958e-03,1.027917170e-03,1.385430594e-03,2.050401967e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,7,2.430445150e-03,1.091473383e-03,1.385430594e-03,2.074087679e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,2.368813377e-03,1.063795556e-03,1.112709408e-03,2.071630105e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,1.882824901e-03,8.455460366e-04,1.112709408e-03,1.939475146e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,2,3.481215771e-03,1.563357377e-03,1.112709408e-03,2.216321142e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,3,1.738176401e-03,7.805867482e-04,1.112709408e-03,1.968756204e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,4,3.204124842e-03,1.438920348e-03,1.112709408e-03,2.224743683e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,5,1.917484107e-03,8.611109221e-04,1.112709408e-03,1.986195662e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,6,2.483067832e-03,1.115105373e-03,1.112709408e-03,2.079795863e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,7,2.169805686e-03,9.744244391e-04,1.112709408e-03,2.009031445e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,0,1.849569133e-03,8.306114122e-04,1.043064918e-03,1.950137182e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,1,2.909027700e-03,1.306397021e-03,1.043064918e-03,2.143531380e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,2,2.043021901e-03,9.174879037e-04,1.043064918e-03,1.994649668e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,3,2.710629331e-03,1.217299541e-03,1.043064918e-03,2.151989390e-08,1
