target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,257,shared_d1,d1,21;275;264;279,0.328313855;0.432175801;0.239510344;0.000000000,2.597505472e-01,2.597505472e-01,5.129493639e-01,5.129493639e-01,5.135941724e-01,6.114113380e-01,5.622766657e-01,nan,nan,2.597505472e-01,2.390153738e-01,9.196372896e-01,9.369362511e-01,nan,4.006276719e-01,6.001226498e-01,2.597505472e-01,2.419609893e-01,2.328163561e-01,2.360669429e-01,5.135941724e-01,1.027286410e-05,3.107920849e-01,7.757629007e-01
0,257,shared_du,du,21;275;264;279,0.123527519;0.239828735;0.561618120;0.075025626,4.289243916e-01,3.146946656e-01,4.289243916e-01,3.146946656e-01,4.275646041e-01,7.364747846e-01,7.423769819e-01,nan,nan,3.146946656e-01,3.167444817e-01,1.008014120e+00,9.369362511e-01,nan,4.006276719e-01,7.923452434e-01,3.146946656e-01,3.309319891e-01,2.984584867e-01,2.445843259e-01,4.275646041e-01,1.642676104e-05,2.694652416e-01,6.726076618e-01
0,257,per_particle_d1,d1,21;275;264;279,0.020864621;0.000000000;0.979135379;0.000000000|0.000000000;0.065009982;0.934990018;0.000000000|0.420010154;0.579989846;0.000000000;0.000000000|0.263977002;0.707354423;0.028668575;0.000000000|0.510046080;0.229787926;0.260165993;0.000000000,1.698031455e-01,1.698031455e-01,4.081857487e-01,4.081857487e-01,4.048001903e-01,3.978589401e-01,4.039452212e-01,nan,nan,1.698031455e-01,1.729447775e-01,1.015297586e+00,9.369362511e-01,nan,4.006276719e-01,4.311341575e-01,1.698031455e-01,1.834982429e-01,1.390358348e-01,1.248418830e-01,4.048001903e-01,1.050747669e-05,3.749420128e-01,9.358864579e-01
0,257,per_particle_du,du,21;275;264;279,0.160571705;0.000000000;0.839428295;0.000000000|0.000000000;0.217371155;0.782628845;0.000000000|0.000000000;0.185872025;0.579729960;0.234398015|0.000000000;0.598307914;0.188901754;0.212790332|0.512308852;0.342749743;0.144941405;0.000000000,3.196920591e-01,2.516672154e-01,3.196920591e-01,2.516672154e-01,3.175655554e-01,5.890196935e-01,4.462638835e-01,nan,nan,2.516672154e-01,1.905695957e-01,7.576383072e-01,9.369362511e-01,nan,4.006276719e-01,4.763012243e-01,2.516672154e-01,1.905695957e-01,2.838301172e-01,1.577562153e-01,3.175655554e-01,1.131234789e-05,3.001998754e-01,7.493238648e-01
