trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
0,random,shared,57;79;139;19,0.120492461;0.711688758;0.012182386;0.155636394,1,3.879535712e-01,1.760512389e-01,3.838611081e-01,3.102527714e-02,2.635975187e-01,2.846477148e-01,3.001613991e-01;4.676491461e-01;5.711256635e-01;2.303372002e-01;1.130783854e-01;4.497187008e-01;3.967208826e-01;3.789595739e-01,3.634688689e-01,5.711256635e-01,8.316674684e-02,1.813922937e-01,2.088941791e-08,2.825926440e-01,3.909049869e+00
0,random,independent,57;79;139;19,0.120492461;0.711688758;0.012182386;0.155636394,1,1.425730275e+00,6.469887117e-01,1.422405955e+00,3.102527714e-02,9.880627138e-01,1.027832131e+00,3.001613991e-01;1.511033464e+00;2.182482920e+00;1.381796695e+00;1.130783854e-01;1.461061484e+00;1.690812342e+00;1.486407739e+00,1.265854304e+00,2.182482920e+00,,,2.267753359e-08,1.028999119e+00,6.546055182e+00
1,random,shared,133;218;82;217,0.242686784;0.447698647;0.055187772;0.254426797,1,3.269849251e-01,1.483839961e-01,3.359458800e-01,3.319569688e-02,1.385605106e-01,2.961758365e-01,3.775772663e-01;1.695416265e-01;1.438431605e-01;1.515605727e-01;3.608433400e-01;4.710672307e-01;3.143674389e-01;4.352511622e-01,3.030064747e-01,4.710672307e-01,7.641351364e-02,1.666630358e-01,2.008977420e-08,3.050601933e-01,3.326868553e+00
1,random,independent,133;218;82;217,0.242686784;0.447698647;0.055187772;0.254426797,1,7.072759194e-01,3.209579989e-01,7.241984039e-01,3.319569688e-02,4.826759735e-01,5.169749808e-01,3.775772663e-01;6.102258650e-01;5.785701488e-01;9.552896396e-01;3.608433400e-01;1.114010539e+00;4.870429199e-01;7.944895825e-01,6.597561626e-01,1.114010539e+00,,,2.047641188e-08,5.174078934e-01,3.198491365e+00
2,random,shared,155;149;168;179,0.364469335;0.012573871;0.061938028;0.561018766,1,2.564585011e-01,1.163794851e-01,2.632449937e-01,4.408004753e-02,1.198277044e-01,2.267427707e-01,2.363768173e-01;2.230693475e-01;1.782371468e-01;2.455136109e-01;3.031553448e-01;2.810822916e-01;2.651951628e-01;2.953802008e-01,2.535012403e-01,3.031553448e-01,5.901331561e-02,1.287120284e-01,1.856372564e-08,2.283533511e-01,1.563423314e+00
2,random,independent,155;149;168;179,0.364469335;0.012573871;0.061938028;0.561018766,1,1.093790931e+00,4.963564273e-01,1.084869633e+00,4.408004753e-02,9.102556625e-01,6.064760750e-01,2.363768173e-01;6.586338852e-01;1.453904435e+00;1.500602323e+00;3.031553448e-01;8.203225676e-01;1.569704401e+00;1.219387793e+00,9.702609458e-01,1.569704401e+00,,,2.203036273e-08,6.079762806e-01,3.867442187e+00
3,random,shared,188;0;121;136,0.076824893;0.288342517;0.382710388;0.252122203,1,3.643554119e-01,1.653425215e-01,3.766527506e-01,4.225544922e-02,3.410864432e-01,1.281206638e-01,3.366815134e-01;4.673578447e-01;3.719678100e-01;3.816664512e-01;2.501890019e-01;3.316869206e-01;3.620204594e-01;3.775741498e-01,3.598930189e-01,4.673578447e-01,1.269531830e-01,2.768934692e-01,2.185730394e-08,1.221851214e-01,8.452542808e-01
3,random,independent,188;0;121;136,0.076824893;0.288342517;0.382710388;0.252122203,1,1.126210542e+00,5.110682720e-01,1.136341470e+00,4.225544922e-02,9.595910620e-01,5.895211436e-01,3.366815134e-01;1.383411719e+00;1.492434535e+00;1.179502906e+00;2.501890019e-01;1.173794209e+00;1.474127976e+00;9.421201806e-01,1.029032755e+00,1.492434535e+00,,,2.214195182e-08,5.950376480e-01,4.511733813e+00
4,random,shared,78;77;220;28,0.456648179;0.392559454;0.017024295;0.133768071,1,2.731044119e-01,1.239333097e-01,2.684587957e-01,3.700816803e-02,1.862169760e-01,1.997730154e-01,1.760486604e-01;2.101448227e-01;1.140144988e-01;1.956370660e-01;2.137121312e-01;4.359255141e-01;4.240474381e-01;2.339676369e-01,2.504372210e-01,4.359255141e-01,5.094712404e-02,1.111191196e-01,2.205981279e-08,2.003163020e-01,2.223339529e+00
4,random,independent,78;77;220;28,0.456648179;0.392559454;0.017024295;0.133768071,1,1.247610619e+00,5.661589722e-01,1.250925226e+00,3.700816803e-02,1.016929419e+00,7.227633169e-01,1.760486604e-01;1.303638409e+00;1.814772457e+00;1.184785773e+00;2.137121312e-01;1.240918865e+00;1.810100920e+00;1.078266002e+00,1.102780402e+00,1.814772457e+00,,,2.143351011e-08,7.216965324e-01,5.439605010e+00
