stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.4303282259636636,1.906488762113934,1.0,0.49119506664568424,0.20412414523193154,0.3222741020844647,0.3960503472222222,0.11414930555555555,0.05295138888888889,0.03602430555555555,0.023654513888888888,0.025607638888888888,0.039713541666666664,0.04709201388888889,0.027994791666666668,0.027994791666666668,0.2087673611111111,0.11486224094073058,0.2154158765465164,0.28362639705718384,,,,,,1
terminal,,,True,1.1867421609879187,0.8785309079085084,0.46081095538920697,0.21848958032979568,0.20412414523193154,0.04188368055555558,0.11436631944444445,0.10481770833333333,0.1013454861111111,0.10091145833333333,0.08116319444444445,0.0783420138888889,0.08203125,0.10980902777777778,0.1095920138888889,0.07552083333333333,0.04210069444444445,0.0007319768950211496,0.020355236596589835,0.8495530203460724,,,,,,1
vertex,132,0,,,,,,,,,,,,,,,,,,,,,,4.248926094e-04,1.930409530e-03,4.453108013e-04,2.023175259e-03,1.731642228e-06,1
vertex,132,1,,,,,,,,,,,,,,,,,,,,,,8.818837355e-04,1.930409530e-03,9.242626120e-04,2.023175259e-03,2.838144964e-06,1
vertex,132,2,,,,,,,,,,,,,,,,,,,,,,5.626246883e-04,1.930409530e-03,5.896615881e-04,2.023175259e-03,1.975645680e-06,1
vertex,132,3,,,,,,,,,,,,,,,,,,,,,,1.820262546e-03,1.930409530e-03,1.907735167e-03,2.023175259e-03,6.767861109e-06,1
vertex,132,4,,,,,,,,,,,,,,,,,,,,,,2.452143377e-03,1.930409530e-03,2.569980998e-03,2.023175259e-03,1.168432450e-05,1
vertex,132,5,,,,,,,,,,,,,,,,,,,,,,3.667084184e-03,1.930409530e-03,3.843305722e-03,2.023175259e-03,1.014755495e-05,1
vertex,132,6,,,,,,,,,,,,,,,,,,,,,,1.369993719e-03,1.930409530e-03,1.435828695e-03,2.023175259e-03,3.067483204e-06,1
vertex,132,7,,,,,,,,,,,,,,,,,,,,,,2.594216896e-03,1.930409530e-03,2.718881853e-03,2.023175259e-03,1.340009628e-05,1
vertex,132,8,,,,,,,,,,,,,,,,,,,,,,9.395828903e-04,1.930409530e-03,9.847344966e-04,2.023175259e-03,2.767870348e-06,1
vertex,340,0,,,,,,,,,,,,,,,,,,,,,,4.099180955e-03,1.801657033e-03,4.296166880e-03,1.888235567e-03,1.660032315e-05,1
vertex,340,1,,,,,,,,,,,,,,,,,,,,,,6.656935865e-04,1.801657033e-03,6.976834568e-04,1.888235567e-03,2.373838665e-06,1
vertex,340,2,,,,,,,,,,,,,,,,,,,,,,8.326370786e-04,1.801657033e-03,8.726494096e-04,1.888235567e-03,2.559171387e-06,1
