target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,66,shared_d1,d1,103;148;75;150,0.293918007;0.431146549;0.000000000;0.274935444,2.136297337e-01,2.136297337e-01,6.019536730e-01,6.019536730e-01,6.020972426e-01,3.835580630e-01,4.406088687e-01,nan,nan,2.136297337e-01,2.466829852e-01,1.148740989e+00,5.911598078e-01,nan,3.239060313e-01,7.453295419e-01,2.136297337e-01,2.466829852e-01,3.728597914e-01,2.277669841e-01,6.020972426e-01,7.686973235e-06,2.165020792e-01,6.684101506e-01
0,66,shared_du,du,103;148;75;150,0.316980809;0.538549465;0.144469727;0.000000000,5.763954489e-01,2.468376638e-01,5.763954489e-01,2.468376638e-01,5.764641189e-01,4.499790210e-01,4.880594475e-01,nan,nan,2.468376638e-01,2.681252175e-01,1.084627115e+00,5.911598078e-01,nan,3.239060313e-01,8.255964649e-01,2.468376638e-01,2.681252175e-01,3.922031494e-01,1.882456256e-01,5.764641189e-01,6.390925340e-06,2.066083098e-01,6.378649665e-01
0,66,per_particle_d1,d1,103;148;75;150,0.739559352;0.260440648;0.000000000;0.000000000|0.023861283;0.347003353;0.265583748;0.363551616|0.489699530;0.133949692;0.376350778;0.000000000,1.692175839e-01,1.692175839e-01,6.488546313e-01,6.488546313e-01,6.483168683e-01,3.034834688e-01,3.750587222e-01,nan,nan,1.692175839e-01,2.101765133e-01,1.235845642e+00,5.911598078e-01,nan,3.239060313e-01,6.344455716e-01,1.692175839e-01,2.101765133e-01,2.609033405e-01,2.352755099e-01,6.483168683e-01,7.556199479e-06,2.288208993e-01,7.064422306e-01
0,66,per_particle_du,du,103;148;75;150,0.432023832;0.567976168;0.000000000;0.000000000|0.040205979;0.631908677;0.327885344;0.000000000|0.197503059;0.449547412;0.352949529;0.000000000,5.519009851e-01,2.236217975e-01,5.519009851e-01,2.236217975e-01,5.516781580e-01,4.086938113e-01,5.483536325e-01,nan,nan,2.236217975e-01,2.989130457e-01,1.341722378e+00,5.911598078e-01,nan,3.239060313e-01,9.275895033e-01,2.236217975e-01,2.989130457e-01,3.249472240e-01,3.804583469e-01,5.516781580e-01,6.201510021e-06,1.406151107e-01,4.341231627e-01
