dimension,beta,pair,alpha,terminal_pair_distance,seed_offset_distance,seed_pair_separation_ratio,target_rmse,relative_plane_error,relative_pair_error,arrival_separation_ratio,local_amplification,identity_swapped,collapsed,max_replay_residual,finite,replay_seconds
2,0.025,0,0.0,0.0037291263170231995,0.0,1.0,0.04640198205003723,0.04640198205003723,19.09481243468296,0.8882798098368757,0.0,False,False,0.00015745905764252613,True,192.89436569999089
2,0.025,1,0.0,0.010136125751419187,0.0,1.0,0.04835787064424541,0.04835787064424541,3.6879271697742504,0.5934585991707494,0.0,False,False,0.0001357990018067519,True,192.89436569999089
2,0.025,2,0.0,0.013557841940041953,0.0,1.0,0.049387328257886394,0.049387328257886394,9.119629327285773,1.0522961623464173,0.0,False,False,0.00017255119627315076,True,192.89436569999089
2,0.025,3,0.0,0.01577827232613293,0.0,1.0,0.05189008024050211,0.05189008024050211,10.497504413591813,1.6865994837205982,0.0,False,False,0.0001872950303548468,True,192.89436569999089
2,0.025,4,0.0,0.017117788392927002,0.0,1.0,0.05747875977659474,0.05747875977659474,3.1511994432335664,1.0853309369137583,0.0,False,False,0.00015398469014021136,True,192.89436569999089
2,0.025,5,0.0,0.01966708326983827,0.0,1.0,0.10220126890795403,0.10220126890795403,8.795277142050582,2.289803052552689,0.0,False,False,0.0002464898836564052,True,192.89436569999089
2,0.025,0,0.1,0.0037291263170231995,0.00037291263170232,0.8,0.04641088006529444,0.04641088006529444,19.098474044055468,0.7103225391288279,0.5804921543649616,False,False,0.0001572706975223014,True,192.89436569999089
2,0.025,1,0.1,0.010136125751419187,0.0010136125751419188,0.8,0.04842995456925277,0.04842995456925277,3.6934245223664335,0.47437071305100903,0.7714293730875769,False,False,0.00013551356634674912,True,192.89436569999089
2,0.025,2,0.1,0.013557841940041953,0.0013557841940041954,0.8,0.049442756101069636,0.049442756101069636,9.129864369392173,0.8390410586429289,0.4285695090315705,False,False,0.0001721080123557176,True,192.89436569999089
2,0.025,3,0.1,0.01577827232613293,0.001577827232613293,0.8,0.0518362484261735,0.0518362484261735,10.486614091089185,1.348913880744591,0.5295877530393697,False,False,0.00018677104227095946,True,192.89436569999089
2,0.025,4,0.1,0.017117788392927002,0.0017117788392927002,0.8,0.057412515897419775,0.057412515897419775,3.1475677073369477,0.86764888802885,1.1607836628916255,False,False,0.00015378890511434906,True,192.89436569999089
2,0.025,5,0.1,0.01966708326983827,0.0019667083269838273,0.8,0.1016081308382935,0.1016081308382935,8.744232631919658,1.8253582896056173,1.3883954228727073,False,False,0.00024635737590723936,True,192.89436569999089
2,0.025,0,0.25,0.0037291263170231995,0.0009322815792557999,0.5,0.046422793516835634,0.046422793516835634,19.103376531246287,0.4437479758029123,0.5798179882725832,False,False,0.000156984473427381,True,192.89436569999089
2,0.025,1,0.25,0.010136125751419187,0.0025340314378547966,0.5,0.04854502589144827,0.04854502589144827,3.702200232502817,0.2962145050557435,0.7698451768181391,False,False,0.00013507522256012223,True,192.89436569999089
2,0.025,2,0.25,0.013557841940041953,0.0033894604850104883,0.5,0.04951506750745824,0.04951506750745824,9.143217050042468,0.5225307977317832,0.42504942155927755,False,False,0.00017142649423534988,True,192.89436569999089
2,0.025,3,0.25,0.01577827232613293,0.003944568081533232,0.5,0.05179336959850586,0.05179336959850586,10.477939587588624,0.8428253540543305,0.5291166008299331,False,False,0.00018597389235871516,True,192.89436569999089
2,0.025,4,0.25,0.017117788392927002,0.0042794470982317505,0.5,0.057472035034657296,0.057472035034657296,3.1508307678631944,0.5418612527766208,1.1589122179131692,False,False,0.00015348867712312858,True,192.89436569999089
2,0.025,5,0.25,0.01966708326983827,0.004916770817459568,0.5,0.10102805592067403,0.10102805592067403,8.694312315683563,1.136478196763664,1.374199939240539,False,False,0.00024605097767722465,True,192.89436569999089
2,0.025,0,0.4,0.0037291263170231995,0.00149165052680928,0.19999999999999996,0.04643300136527587,0.04643300136527587,19.107577148175057,0.17745540434589732,0.5793047577800172,False,True,0.00015669365165819245,True,192.89436569999089
2,0.025,1,0.4,0.010136125751419187,0.004054450300567675,0.19999999999999996,0.048668526352342506,0.048668526352342506,3.711618775940393,0.11842843254058215,0.7686525053514938,False,True,0.0001346238472793516,True,192.89436569999089
2,0.025,2,0.4,0.013557841940041953,0.0054231367760167815,0.19999999999999996,0.04957493706520186,0.04957493706520186,9.15427227805074,0.2086135013342454,0.42241819391363844,False,True,0.0001707225093817218,True,192.89436569999089
2,0.025,3,0.4,0.01577827232613293,0.006311308930453172,0.19999999999999996,0.05179575852471483,0.05179575852471483,10.478422873860415,0.3370775051600559,0.528755864037584,False,False,0.00018516399926622737,True,192.89436569999089
2,0.025,4,0.4,0.017117788392927002,0.006847115357170801,0.19999999999999996,0.05772072903156542,0.05772072903156542,3.1644650979642335,0.2166537930373314,1.157497370180963,False,True,0.0001531804347715721,True,192.89436569999089
