seed,path_index,category,permutation_frame,first_source_id,second_source_id,particle_permutation,distance_d1,distance_du,distance_d1_fixed_matching,t,lambda,terminal_step_norm,output_step_norm,step_amplification,nearest_source_identity,nearest_source_changed,pairwise_relation_change,maximum_particle_jump,particle_jumps,terminal_displacement_from_start,output_displacement_from_start,direct_displacement_from_start,max_replay_residual,replay_runtime,finite
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.0,1;0,0.0,0.0,0.0,19,0,0.0,0.0,0;0;0;0;0;0;0;0,0.0,0.0,0.0,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.01,0.99;0.01,0.02103979037700424,0.0,0.0,19,0,0.0,0.0,0;0;0;0;0;0;0;0,0.02103979037700424,0.0,0.026471327699046743,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.02,0.98;0.02,0.021039790377004177,3.554447978966673e-16,1.689393247402109e-14,19,0,1.4536231567507431e-16,3.554447978966673e-16,3.55444797897e-16;0;0;0;0;0;0;0,0.04207958075400841,3.554447978966673e-16,0.052942655398093036,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.03,0.97;0.03,0.021039790377004198,3.554447978966673e-16,1.6893932474021075e-14,19,0,1.4536231567507431e-16,3.554447978966673e-16,3.55444797897e-16;0;0;0;0;0;0;0,0.06311937113101261,0.0,0.07941398309713994,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.04,0.96;0.04,0.02103979037700425,2.2591401799415137e-16,1.0737465247803392e-14,19,0,4.1962486042515756e-17,2.2591401799415137e-16,0;2.25914017994e-16;0;0;0;0;0;0,0.08415916150801686,2.2591401799415137e-16,0.10588531079618643,1.4399815809010822e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.05,0.95;0.05,0.02103979037700416,2.2591401799415137e-16,1.0737465247803438e-14,19,0,4.1962486042515756e-17,2.2591401799415137e-16,0;2.25914017994e-16;0;0;0;0;0;0,0.10519895188502103,0.0,0.1323566384952331,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.06,0.94;0.06,0.021039790377004215,1.1102230246251565e-16,5.276777975119909e-15,19,0,0.0,1.1102230246251565e-16,0;0;1.11022302463e-16;0;0;0;0;0,0.12623874226202522,1.1102230246251565e-16,0.15882796619427955,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.07,0.93;0.07,0.021039790377004274,1.1102230246251565e-16,5.276777975119894e-15,19,0,0.0,1.1102230246251565e-16,0;0;1.11022302463e-16;0;0;0;0;0,0.14727853263902949,0.0,0.18529929389332628,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.08,0.92;0.08,0.021039790377004014,1.9229626863835638e-16,9.139647553168191e-15,19,0,2.0557335828564925e-16,1.9229626863835638e-16,0;0;0;1.92296268638e-16;0;0;0;0,0.1683183230160335,1.9229626863835638e-16,0.21177062159237256,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.09,0.91;0.09,0.021039790377004253,1.9229626863835638e-16,9.139647553168087e-15,19,0,2.0557335828564925e-16,1.9229626863835638e-16,0;0;0;1.92296268638e-16;0;0;0;0,0.18935811339303776,0.0,0.23824194929141915,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.1,0.9;0.1,0.021039790377004177,6.938893903907228e-18,3.297986234449949e-16,19,0,0.0,6.938893903907228e-18,0;0;0;0;6.93889390391e-18;0;0;0,0.21039790377004194,6.938893903907228e-18,0.2647132769904658,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.11,0.89;0.11,0.021039790377004264,6.938893903907228e-18,3.2979862344499354e-16,19,0,0.0,6.938893903907228e-18,0;0;0;0;6.93889390391e-18;0;0;0,0.2314376941470462,0.0,0.29118460468951235,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.12,0.88;0.12,0.02103979037700418,1.1102230246251565e-16,5.276777975119918e-15,19,0,0.0,1.1102230246251565e-16,0;0;0;0;0;1.11022302463e-16;0;0,0.2524774845240504,1.1102230246251565e-16,0.317655932388559,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.13,0.87;0.13,0.021039790377004222,1.1102230246251565e-16,5.276777975119908e-15,19,0,0.0,1.1102230246251565e-16,0;0;0;0;0;1.11022302463e-16;0;0,0.2735172749010546,0.0,0.3441272600876055,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.14,0.86;0.14,0.021039790377004288,2.5589376332604516e-16,1.2162372283220443e-14,19,0,1.7803175061665248e-16,2.5589376332604516e-16,0;0;0;0;0;0;2.55893763326e-16;0,0.2945570652780589,2.5589376332604516e-16,0.37059858778665206,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.15,0.85;0.15,0.021039790377004174,2.5589376332604516e-16,1.216237228322051e-14,19,0,1.7803175061665248e-16,2.5589376332604516e-16,0;0;0;0;0;0;2.55893763326e-16;0,0.31559685565506307,0.0,0.3970699154856988,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.16,0.84;0.16,0.021039790377004215,0.550357462271972,26.157934675694026,19,0,0.14946591269775075,0.5120244315127119,0.201802670479;0;0;0;0;0;0;0.512024431513,0.3366366460320673,0.550357462271972,0.4235412431847453,1.4399815809040997e-05,13.992264002227703,1
4652,0,close_d1,d1,19,40,0;4;5;2;7;6;1;3,0.49879550948084633,0.8534208974875824,0.49879550948084633,0.17,0.83;0.17,0.021039790377004246,0.10934072841535684,5.1968544579637275,19,0,0.03076447038718794,0.10934072841535684,0;0.109340728415;0;0;0;0;0;2.54384052431e-16,0.35767643640907154,0.5611138308479356,0.4500125708837921,1.3793224387370004e-05,13.992264002227703,1
