target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,16,shared_d1,d1,26;13;19;29,0.522312796;0.000000000;0.215435552;0.262251652,6.302468029e-01,6.302468029e-01,8.582009672e-01,8.582009672e-01,8.583860314e-01,5.552258127e-01,6.679661000e-01,nan,nan,6.302468029e-01,7.711264311e-01,1.203053037e+00,6.095230802e-01,nan,7.103001055e-01,1.095883194e+00,6.302468029e-01,7.711264311e-01,9.862823314e-01,1.149380166e+00,8.583860314e-01,1.610325884e-04,2.922671666e-01,4.114699750e-01
0,16,shared_du,du,26;13;19;29,0.477525522;0.281807158;0.000000000;0.240667319,8.110484503e-01,6.562580208e-01,8.110484503e-01,6.562580208e-01,8.153919412e-01,5.754356411e-01,6.288203952e-01,nan,nan,6.562580208e-01,7.194986016e-01,1.092772763e+00,6.095230802e-01,nan,7.103001055e-01,1.031659695e+00,6.562580208e-01,7.194986016e-01,1.083902785e+00,1.329106058e+00,8.153919412e-01,2.033022394e-04,3.316464735e-01,4.669103538e-01
0,16,per_particle_d1,d1,26;13;19;29,0.640480158;0.309998636;0.000000000;0.049521206|0.000000000;0.121204825;0.000000000;0.878795175|0.000000000;1.000000000;0.000000000;0.000000000|0.516388592;0.000000000;0.217977041;0.265634366,5.473450039e-01,5.473450039e-01,7.149850390e-01,7.149850390e-01,7.128364799e-01,4.885083048e-01,5.831015977e-01,nan,nan,5.473450039e-01,6.677990781e-01,1.193637021e+00,6.095230802e-01,nan,7.103001055e-01,9.566522033e-01,5.473450039e-01,6.677990781e-01,9.299221259e-01,9.942617037e-01,7.128364799e-01,1.637232814e-04,3.511735156e-01,4.944016098e-01
0,16,per_particle_du,du,26;13;19;29,0.692141169;0.307858831;0.000000000;0.000000000|0.000000000;0.145254719;0.000000000;0.854745281|0.426413879;0.363637659;0.209948461;0.000000000|0.267038576;0.076072889;0.363667286;0.293221248,6.881363209e-01,5.807889742e-01,6.881363209e-01,5.807889742e-01,6.875764464e-01,5.216187857e-01,6.244677604e-01,nan,nan,5.807889742e-01,7.196908652e-01,1.197172681e+00,6.095230802e-01,nan,7.103001055e-01,1.024518645e+00,5.807889742e-01,7.196908652e-01,1.020775806e+00,1.018593519e+00,6.875764464e-01,1.648822779e-04,4.255080226e-01,5.990538637e-01
