trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
9,random,independent,4;128;47;29,0.081919923;0.543035551;0.081245617;0.293798909,1,9.574483331e-01,4.567067788e-01,9.499655901e-01,4.071796190e-02,6.979743143e-01,6.553923765e-01,2.676464200e-01;1.308948993e+00;1.733448651e-01;1.269377997e+00;1.609226411e-01;1.244577859e+00;8.765429075e-01;1.250643778e+00,8.190006825e-01,1.308948993e+00,,,3.911022705e-09,6.511707421e-01,4.569203715e+00
10,random,shared,4;128;73;20,0.127149125;0.372276820;0.498137719;0.002436337,1,6.015481605e-01,2.869409379e-01,6.050766016e-01,3.187270709e-02,4.499302545e-01,3.992780429e-01,6.507341363e-01;6.245230554e-01;5.364252263e-01;6.657649894e-01;6.389051005e-01;6.674242712e-01;3.118232671e-01;6.320710978e-01,5.909588930e-01,6.674242712e-01,8.780915700e-02,9.227335167e-02,4.053221552e-09,3.907910043e-01,2.727028122e+00
10,random,independent,4;128;73;20,0.127149125;0.372276820;0.498137719;0.002436337,1,9.645265287e-01,4.600831071e-01,9.645346355e-01,3.187270709e-02,7.327274875e-01,6.272334920e-01,6.507341363e-01;1.357223172e+00;1.020352485e+00;6.657649894e-01;6.389051005e-01;1.357423983e+00;9.867010322e-01;6.842813765e-01,9.201732844e-01,1.357423983e+00,,,4.154496643e-09,6.315104750e-01,4.421146866e+00
11,random,shared,149;76;5;48,0.151076886;0.070871282;0.774965149;0.003086683,1,2.821459988e-01,1.345847977e-01,2.794178165e-01,3.322693767e-02,2.816958853e-01,1.593087643e-02,2.922734793e-01;2.736768609e-01;2.855733272e-01;2.783368635e-01;2.836569772e-01;2.826769986e-01;2.792149071e-01;2.813823748e-01,2.820989736e-01,2.922734793e-01,1.164687394e-01,1.223899798e-01,4.106121757e-09,4.745565435e-02,1.948129208e-03
11,random,independent,149;76;5;48,0.151076886;0.070871282;0.774965149;0.003086683,1,1.981900853e+00,9.453748291e-01,1.989177440e+00,3.322693767e-02,1.237006918e+00,1.548465329e+00,2.922734793e-01;2.796747044e+00;1.188261365e+00;2.637703828e+00;2.836569772e-01;2.814720486e+00;5.722028138e-01;2.610795816e+00,1.649545226e+00,2.814720486e+00,,,5.842602813e-09,1.542551340e+00,9.236006026e+00
12,random,shared,133;189;153;51,0.305166046;0.028157211;0.480150181;0.186526562,1,5.285535679e-01,2.521222180e-01,5.323878433e-01,5.004115937e-02,4.360384948e-01,2.987294850e-01,5.572671410e-01;4.989543630e-01;5.665817778e-01;4.849093516e-01;5.113561419e-01;5.750259261e-01;5.030274720e-01;5.235650130e-01,5.275858983e-01,5.750259261e-01,1.287014679e-01,1.352446170e-01,7.056039809e-09,3.107364561e-01,2.428974267e+00
12,random,independent,133;189;153;51,0.305166046;0.028157211;0.480150181;0.186526562,1,9.480564377e-01,4.522268062e-01,9.519298748e-01,5.004115937e-02,6.828053447e-01,6.577141250e-01,5.572671410e-01;1.026817266e+00;8.784537579e-01;1.343641802e+00;5.113561419e-01;1.038766166e+00;8.382405744e-01;1.097891570e+00,9.115543024e-01,1.343641802e+00,,,7.056039809e-09,6.633853463e-01,4.422594030e+00
13,random,shared,110;220;103;203,0.226964134;0.366622301;0.197838420;0.208575146,1,5.105526152e-01,2.435356898e-01,5.088546307e-01,3.573959935e-02,5.080753008e-01,5.023406787e-02,5.163937385e-01;5.284079437e-01;5.146819360e-01;5.005697458e-01;5.094744036e-01;5.292096418e-01;4.755287046e-01;5.081458527e-01,5.103014958e-01,5.292096418e-01,1.196856638e-01,1.257704518e-01,4.203920298e-09,4.991142644e-02,1.852481098e-03
13,random,independent,110;220;103;203,0.226964134;0.366622301;0.197838420;0.208575146,1,5.105526152e-01,2.435356898e-01,5.088546307e-01,3.573959935e-02,5.080753008e-01,5.023406787e-02,5.163937385e-01;5.284079437e-01;5.146819360e-01;5.005697458e-01;5.094744036e-01;5.292096418e-01;4.755287046e-01;5.081458527e-01,5.103014958e-01,5.292096418e-01,,,4.203920298e-09,4.991142644e-02,1.852481098e-03
14,random,shared,35;89;70;221,0.119843896;0.253864261;0.321331644;0.304960199,1,7.027359808e-01,3.352079429e-01,7.081119845e-01,3.303449599e-02,7.013192315e-01,4.460038456e-02,6.622451637e-01;7.335557385e-01;7.356111108e-01;6.775132036e-01;7.363618736e-01;6.871933363e-01;7.004105182e-01;6.847218118e-01,7.022015946e-01,7.363618736e-01,1.349771540e-01,1.418393574e-01,4.213043201e-09,4.402480568e-02,1.448835512e-03
14,random,independent,35;89;70;221,0.119843896;0.253864261;0.321331644;0.304960199,1,7.160640196e-01,3.415654720e-01,7.212128705e-01,3.303449599e-02,4.076285463e-01,5.887161017e-01,6.622451637e-01;8.713266820e-01;5.238438289e-01;6.775132036e-01;7.363618736e-01;9.555679382e-01;4.965714918e-01;6.847218118e-01,7.010189992e-01,9.555679382e-01,,,4.864077232e-09,5.872143072e-01,4.378998041e+00
15,random,shared,48;189;173;211,0.040222910;0.368098603;0.162091274;0.429587213,1,6.367250401e-01,3.037204536e-01,6.456332392e-01,4.363122136e-02,6.359182671e-01,3.204269359e-02,6.525123804e-01;6.571843897e-01;6.142574290e-01;6.526518532e-01;6.601592804e-01;6.114963743e-01;6.284832132e-01;6.145653859e-01,6.364137883e-01,6.601592804e-01,2.403581768e-02,2.525779239e-02,4.476391411e-09,4.549764253e-02,2.325234107e-03
15,random,independent,48;189;173;211,0.040222910;0.368098603;0.162091274;0.429587213,1,8.677986225e-01,4.139434994e-01,8.681929710e-01,4.363122136e-02,5.769668243e-01,6.482158074e-01,6.525123804e-01;1.271508883e+00;5.689501469e-01;9.250019911e-01;6.601592804e-01;9.902779458e-01;5.985912705e-01;1.013895064e+00,8.351121202e-01,1.271508883e+00,,,5.191203444e-09,6.491148940e-01,4.559152156e+00
